CARD,SUBBED OUT,SUBBED IN,SQUARE 1: TITLE,SQUARE 1: AUTHOR,SQUARE 1: HARD MODE: A book or series that received ten votes or less.,SQUARE 2: TITLE,SQUARE 2: AUTHOR,SQUARE 2: HARD MODE: Not written by Jeff VanderMeer or China Miéville.,SQUARE 3: TITLE,SQUARE 3: AUTHOR,SQUARE 3: HARD MODE: Three or more authors.,SQUARE 4: TITLE,SQUARE 4: AUTHOR,SQUARE 4: HARD MODE: Not based in Britain or Ireland.,SQUARE 5: TITLE,SQUARE 5: AUTHOR,SQUARE 5: HARD MODE: Characters are not originally from Earth. It is acceptable for the characters to be descendants of Earthlings as long as they are not themselves from Earth.,SQUARE 6: TITLE,SQUARE 6: AUTHOR,SQUARE 6: HARD MODE: Not on r/Fantasy’s Favorite Standalones List.,SQUARE 7: TITLE,SQUARE 7: AUTHOR,SQUARE 7: HARD MODE: A YA book with an anti-hero.,SQUARE 8: TITLE,SQUARE 8: AUTHOR,SQUARE 8: HARD MODE: Must read a current selection of either a book club or readalong and participate in the discussion.,SQUARE 9: TITLE,SQUARE 9: AUTHOR,"SQUARE 9: HARD MODE: Weapon has a unique name. Examples: Excalibur from Arthurian legend, Dragnipur in Malazan, Sting in Lord of the Rings, etc.",SQUARE 10: TITLE,SQUARE 10: AUTHOR,SQUARE 10: HARD MODE: Revolution/Rebellion is the main focus of the plot.,SQUARE 11: TITLE,SQUARE 11: AUTHOR,SQUARE 11: HARD MODE: The title has the character’s first and last name. Example: The First Fifteen Lives of Harry August.,SQUARE 12: TITLE,SQUARE 12: AUTHOR,"SQUARE 12: HARD MODE: Initials are a pseudonym and not from the author’s actual name. Examples: T. Kingfisher or K. J. Parker. ADDENDUM: Please do not go snooping to see if a name fits. If it isn't clear based on an author's webpage or social media, assume that it is their real name.",SQUARE 13: TITLE,SQUARE 13: AUTHOR,SQUARE 13: HARD MODE: It's also a debut novel--as in it's the author's first published novel.,SQUARE 14: TITLE,SQUARE 14: AUTHOR,SQUARE 14: HARD MODE: Book has an LGBTQ+ POV character.,SQUARE 15: TITLE,SQUARE 15: AUTHOR,SQUARE 15: HARD MODE: Author is of African heritage.,SQUARE 16: TITLE,SQUARE 16: AUTHOR,"SQUARE 16: HARD MODE: Non-humanoid protagonist. No elves, angels, dwarves, hobbits, or humanoid aliens.",SQUARE 17: TITLE,SQUARE 17: AUTHOR,"SQUARE 17: HARD MODE: No time travel. Book involves something off about time that’s not necessarily time travel. Example: In The Chronicles of Narnia, time moves at a different speed in Narnia than in the real world.",SQUARE 18: TITLE OF COLLECTION/ANTHOLOGY (go to 18A if you did 5 short stories),SQUARE 18: AUTHOR/EDITOR (go to 18A if you did 5 short stories),SQUARE 18: HARD MODE: Read an entire SFF anthology or collection.,SQUARE 18A: Title of Short Story #1 (Do not fill out if you read all of a collection/anthology),SQUARE 18A: Author of Short Story #1,SQUARE 18B: Title of Short Story #2 (Do not fill out if you read all of a collection/anthology),SQUARE 18B: Author of Short Story #2,SQUARE 18C: Title of Short Story #3 (Do not fill out if you read all of a collection/anthology),SQUARE 18C: Author of Short Story #3,SQUARE 18D: Title of Short Story #4 (Do not fill out if you read all of a collection/anthology),SQUARE 18D: Author of Short Story #4,SQUARE 18E: Title of Short Story #5 (Do not fill out if you read all of a collection/anthology),SQUARE 18E: Author of Short Story #5,SQUARE 19: TITLE,SQUARE 19: AUTHOR,SQUARE 19: HARD MODE: Not The Stormlight Archive or any books in the linked list.,SQUARE 20: TITLE,SQUARE 20: AUTHOR,"SQUARE 20: HARD MODE: Self-published and has fewer than 100 ratings on Goodreads, OR an indie publisher that has done an AMA with r/Fantasy.",SQUARE 21: TITLE,SQUARE 21: AUTHOR,SQUARE 21: HARD MODE: Neither Hugo-nominated nor Nebula-nominate.,SQUARE 22: TITLE,SQUARE 22: AUTHOR,SQUARE 22: HARD MODE: A book written by an Indigenous author.,SQUARE 23: TITLE,SQUARE 23: AUTHOR,"SQUARE 23: HARD MODE: Most prominent shifter is not a wolf/dog shifter. For instance, werewolves can exist but can’t be the most notable shifter characters/main characters.",SQUARE 24: TITLE,SQUARE 24: AUTHOR,SQUARE 24: HARD MODE: Title is three words or more.,SQUARE 25: TITLE,SQUARE 25: AUTHOR,SQUARE 25: HARD MODE: Features at least three generations in a single family.
125.0,Book Club or Readalong Book,Mystery Plot 2021,The Song of Achilles,Madeline Miller,,The Girl and the Moon,Mark Lawrence,Yes,Machine of Death,"Ryan North, Matthew Benardo, and David Malki",Yes,Ring Shout,P. Djèlí Clark,Yes,Harrow the Ninth,Tamsyn Muir,Yes,Now Wait for Last Year,Philip K. Dick,Yes,A Deadly Education,Naomi Novik,Yes,The Grief of Stones,Katherine Addison,Yes,Elric of Melniboné,Michael Moorcock,Yes,The Texas-Israeli War: 1999,Jake Saunders and Howard Waldrop,Yes,The Traitor Baru Cormorant,Seth Dickinson,Yes,Memory's Legion,James S.A. Corey,Yes,The Return of the Whalefleet,Benedict Patrick,,The City We Became,N.K. Jemisin,Yes,The Rage of Dragons,Evan Winter,Yes,"The Galaxy, and the Ground Within",Becky Chambers,Yes,Bloodline,Will Wight,Yes,Sword of Destiny,Andrzej Sapkowski,Yes,,,,,,,,,,,The Hod King,Josiah Bancroft,Yes,With Teeth,Brian Keene,,Ship of Magic,Robin Hobb,Yes,Fireheart Tiger,Aliette de Bodard,,Shadows of Self,Brandon Sanderson,Yes,Pilgrimage to Earth,Robert Sheckley,Yes,Ogres,Adrian Tchaikovsky,
126.0,,,A Memory Called Empire,Arkady Martine,,The Fifth Season,N.K. Jemisin,Yes,Vita Nostra,"Marina Dyachenko, Sergey Dyachenko",,The Golem and the Jinni,Helene Wecker,Yes,"The Long Way to a Small, Angry Planet",Becky Chambers,Yes,Babel,R.F. Kuang,Yes,A Deadly Education,Naomi Novik,Yes,Gods of Jade and Shadow,Silvia Moreno-Garcia,,Shadow of the Fox,Julie Kagawa,Yes,The Empress of Salt and Fortune,Nghi Vo,Yes,The Seven Deaths of Evelyn Hardcastle,Stuart Turton,Yes,What Moves the Dead,T. Kingfisher,Yes,A Magic Steeped in Poison,Judy I. Lin,Yes,Jade War,Fonda Lee,Yes,A Master of Djinn,P. Djèlí Clark,Yes,All Systems Red,Martha Wells,,Sea of Tranquility,Emily St. John Mandel,,The Ladies of Grace Adieu and Other Stories,Susanna Clarke,Yes,,,,,,,,,,,The Curse of Chalion,Lois McMaster Bujold,Yes,The Mundane and the Arcane,Danielle Cerrano,Yes,The Club Dumas,Arturo Perez-Reverte,Yes,Black Sun,Rebecca Roanhorse,Yes,A Wizard of Earthsea,Ursula K. Le Guin,Yes,Project Hail Mary,Andy Weir,Yes,Legendborn,Tracy Deonn,Yes
127.0,,,Chaos on CatNet,Naomi Kritzer,Yes,The Kaiju Preservation Society,John Scalzi,Yes,Leviathan Wakes,James S.A. Corey,,When Women Were Dragons,Kelly Barnhill,Yes,Victories Greater Than Death,Charlie Jane Anders,,Eifelheim,Michael Flynn,Yes,Hench,Natalie Zina Walschots,,The Empress of Salt and Fortune,Nghi Vo,,Rhythm of War,Brandon Sanderson,,Phoenix Extravagant,Yoon Ha Lee,,Sabriel,Garth Nix,,Invader,C.J. Cherryh,,A Prayer for the Crown-Shy,Becky Chambers,,Jade Legacy,Fonda Lee,Yes,A Master of Djinn,P. Djèlí Clark,,Redwall,Brian Jacques,Yes,Sea of Tranquility,Emily St. John Mandel,Yes,"The Magazine of Fantasy and Science Fiction, November/December 2021",Sheree Renee Thomas,Yes,,,,,,,,,,,The Book of M,Peng Shepherd,Yes,Heroes Wanted: A Fantasy Anthology,Laura M. Hughes,,A Deadly Education,Naomi Novik,,Buffalo Soldier,Maurice Broaddus,,Consider Phlebas,Iain M. Banks,Yes,Death's End,Cixin Liu,,Martians Abroad,Carrie Vaughn,
128.0,,,Foundryside,Robert Jackson Bennett,Yes,The Jasmine Throne,Tasha Suri,Yes,The Vela,"Yoon Ha Lee, Becky Chambers, Rivers Solomon, S.L. Huang",Yes,The Grace of Kings,Ken Liu,Yes,Network Effect,Martha Wells,Yes,The Very Secret Society of Irregular Witches,Sangu Mandanna,Yes,A Deadly Education,Naomi Novik,Yes,A Desolation Called Peace,Arkady Martine,Yes,Son of a Liche,J. Zachary Pike,Yes,An Unkindness of Magicians,Kat Howard,Yes,How Rory Thorne Destroyed the Multiverse,K. Eason,Yes,The Mask of Mirrors,M.A. Carrick,Yes,Kalyna the Soothsayer,Elijah Kinch Spector,Yes,Hench,Natalie Zina Walschots,Yes,Everfair,Nisi Shawl,Yes,Dogs of War,Adrian Tchaikovsky,Yes,Vita Nostra,"Marina Dyachenko, Sergey Dyachenko",Yes,The Alchemy of Sorrow,Sarah Chorn & Virginia McClain,Yes,,,,,,,,,,,The Goblin Emperor,Katherine Addison,Yes,Dead Star,Simon Kewin,Yes,The Order of the Pure Moon Reflected in Water,Zen Cho,Yes,Black Sun,Rebecca Roanhorse,Yes,Saint Death's Daughter,C.S.E. Cooney,Yes,Light from Uncommon Stars,Ryka Aoki,Yes,Kushiel's Avatar,Jacqueline Carey,
129.0,,,Three Parts Dead,Max Gladstone,,The Sandcats of Rhyl,Robert E. Vardeman,Yes,Clickers Never Die,Stephen Koveniewski & Wile E. Young,,The Wolf in the Attic,Paul Kearney,,Raiders,Simon Haynes,Yes,The Great White Space,Basil Copper,Yes,Monsters and Legends,Ivan Kal,,Three Hearts and Three Lions,Poul Anderson,,Defiance of the Fall,TheFirstDefier,Yes,Veiled Empire,Nathan Garrisom,Yes,Juniper Wiles and the Ghost Girls,Charles de Lint,Yes,Portal to Nova Roma: The Rhine,J.R. Mathews,,New Arcadia: Revolution,Eric Jason Martin,,Spellbreaker,Charlie N. Holmberg,,The Tower Unbroken,Michael Nwanolue,Yes,A Dragon's Chains,Robert Vane,Yes,Trojan Nightmare,Blaise Corvin,,"The Valancourt Book of World Horror Stories, Vol. 2","James D. Jenkins, Ryan Cagle",Yes,,,,,,,,,,,Gwendy's Final Task,"Stephen King, Richard Chizmar",Yes,Mother of Learning,Domagoj Kurmaić,,Don't Go to Wheelchair Camp,David Irons,Yes,Dragon,Saladin Ahmed,,The Raven Spell,Luanne G. Smith,Yes,Operation: Patagonia,William Meikle,,The Stainless Steel Rat Joins the Circus,Harry Harrison,
130.0,,,The House in the Cerulean Sea,T.J. Klune,,The Bone Ships,R.J. Barker,Yes,This is How You Lose the Time War,"Amal El-Mohtar, Max Gladstone",,The Ten Thousand Doors of January,Alix E. Harrow,Yes,Project Hail Mary,Andy Weir,,The Midnight Bargain,C.L. Polk,Yes,The Darkness That Comes Before,R. Scott Bakker,,The Winged Histories,Sofia Samatar,,Underlord,Will Wight,Yes,Ancillary Justice,Ann Leckie,Yes,Circe,Madeline Miller,,The Warded Man,Peter V. Brett,,Legends & Lattes,Travis Baldree,Yes,Jade City,Fonda Lee,Yes,A Master of Djinn,P. Djèlí Clark,Yes,The Last Unicorn,Peter S. Beagle,Yes,The Seven Deaths of Evelyn Hardcastle,Stuart Turton,Yes,Sapience: A Collection of Science Fiction Short Stories,Alexis Lantgen,Yes,,,,,,,,,,,The Midnight Library,Matt Haig,Yes,A Wizard's Guide to Defensive Baking,T. Kingfisher,,Space Opera,Catherynne M. Valente,,Kindred,Octavia E. Butler,,A Wizard of Earthsea,Ursula K. Le Guin,Yes,Fugitive Telemetry,Martha Wells,,The Crimson Campaign,Brian McClellan,
131.0,Set In Space,2021 - A Selection from the r/Fantasy A to Z Genre Guide,Three Parts Dead,Max Gladstone,,The Case of the Toxic Spell Dump,Harry Turtledove,Yes,"Good Omens: The Nice and Accurate Prophecies of Agnes Nutter, Witch","Neil Gaiman, Terry Pratchett",,On Stranger Tides,Tim Powers,Yes,All Systems Red,Martha Wells,,Uprooted,Naomi Novik,,The Thief,Megan Whalen Turner,,The Strange Case of the Alchemist's Daughter,Theodora Goss,,The Palace Job,Patrick Weekes,Yes,The Traitor Baru Cormorant,Seth Dickinson,Yes,"The Utterly Uninteresting and Unadventurous Tales of Fred, the Vampire Accountant",Drew Hayes,,This Quest is Broken!,J.P. Valentine,,Blitz,Daniel O'Malley,,Midnight Riot,Ben Aaronovitch,,A Dead Djinn in Cairo,P. Djèlí Clark,Yes,Hollow Kingdom,Kira Jane Buxton,Yes,The Seven Deaths of Evelyn Hardcastle,Stuart Turton,Yes,Heroic Hearts,"Jim Butcher, Kerrie Hughes",Yes,,,,,,,,,,,Legion,Brandon Sanderson,Yes,The Wizard's Staff,Macy Blush,Yes,The Ten Thousand Doors of January,Alix E. Harrow,,The Ballad of Black Tom,Victor LaValle,,Paladin's Strength,T. Kingfisher,,Who Censored Roger Rabbit,Gary K Wolf,Yes,"Conceal, Don't Feel",Jen Calonita,
132.0,,,The Ninth Rain,Jen Williams,Yes,The Kaiju Preservation Society,John Scalzi,Yes,My Contrary Mary,"Cynthia Hand, Brodi Ashton, Jodi Meadows",Yes,The Ten Thousand Doors of January,Alix E. Harrow,Yes,The First Sister,Linden A. Lewis,Yes,The Southern Book Club's Guide to Slaying Vampires,Grady Hendrix,Yes,Half a King,Joe Abercrombie,Yes,Daughter of the Moon Goddess,Sue Lynn Tan,Yes,Bloodmarked,Tracy Deonn,Yes,The Unbroken,C.L. Clark,Yes,Tristan Strong Punches a Hole in the Sky,Kwame Mbalia,Yes,A Master of Djinn,P. Djèlí Clark,Yes,Bluebird,Ciel Pierlot,Yes,White Trash Warlock,David R. Slayton,Yes,Akata Witch,Nnedi Okorafor,Yes,Dragon of Ash & Stars,H Leighton Dickson,Yes,Sea of Tranquility,Emily St. John Mandel,Yes,The Egg,Andy Weir,Yes,,,,,,,,,,,Parable of the Sower,Octavia E. Butler,Yes,Bones to the Wind,Tatiana Obey,Yes,Certain Dark Things,Silvia Moreno-Garcia,Yes,Elatsoe,Darcie Little Badger,Yes,The Hand of the Sun King,J.T. Greathouse,Yes,Light from Uncommon Stars,Ryka Aoki,Yes,Mooncakes,"Suzanne Walker, Wendy Xu",Yes
133.0,,,The Watchmaker of Filigree Street,Natasha Pulley,Yes,Children of Ruin,Adrian Tchaikovsky,Yes,Neogenesis,Sharon Lee and Steve Miller,,Golden Age,Naomi Novik,,Will Save the Galaxy for Food,Yahtzee Croshaw,,The Ghost Bride,Yangsze Choo,Yes,Nimona,Noelle Stevenson,Yes,Crosstalk,Connie Willis,,The Blue Sword,Robin McKinley,Yes,Mother of Lies,Dave Duncan,Yes,Thraxas of Turai,Martin Scott,,Shadow Magic,Patricia C. Wrede,,The Grief of Stones,Katherine Addison,,Charming,Elliott James,,Children of Blood and Bone,Tomi Adeyemi,Yes,Legends & Lattes,Travis Baldree,,The Last Watch,J.S. Dewes,Yes,Tales from the 1001 Nights,N.J. Dawood,Yes,,,,,,,,,,,Winterkeep,Kristin Cashore,Yes,Clean Sweep,Ilona Andrews,,Dragonsbane,Barbara Hambly,Yes,A Crown of Wishes,Roshani Chokshi,,Prudence,Gail Carriger,Yes,Black Water Sister,Zen Cho,Yes,The Lord of Stariel,A.J. Lancaster,Yes
134.0,,,A Desolation Called Peace,Arkady Martine,,Grass,Sheri S. Tepper,Yes,Roadside Picnic,"Arkady Strugatsky, Boris Strugatsky",,The Once and Future Witches,Alix E. Harrow,Yes,The Stars Are Legion,Kameron Hurley,Yes,Ammonite,Nicola Griffith,Yes,The Library at Mount Char,Scott Hawkins,,Project Hail Mary,Andy Weir,Yes,Soulsmith,Will Wight,,The Unbroken,C.L. Clark,Yes,The Traitor Baru Cormorant,Seth Dickinson,Yes,The Hollow Places,T. Kingfisher,Yes,Dead Silence,S.A. Barnes,Yes,Bunny,Mona Awad,Yes,A Master of Djinn,P. Djèlí Clark,Yes,Children of Ruin,Adrian Tchaikovsky,Yes,Middlegame,Seanan McGuire,Yes,Her Body and Other Parties,Carmen Maria Machado,Yes,,,,,,,,,,,Lonely Castle in the Mirror,Mizuki Tsujimura,Yes,There Is No Antimemetics Division,qntm,,Borne,Jeff VanderMeer,,Binti,Nnedi Okorafor,,The Golden Compass,Philip Pullman,Yes,Foreigner,C.J. Cherryh,,Black Water Sister,Zen Cho,Yes
135.0,,,This is How You Lose the Time War,"Amal El-Mohtar, Max Gladstone",,The Kaiju Preservation Society,John Scalzi,Yes,Bastille Versus the Evil Librarians,"Brandon Sanderson, Janci Patterson",,The Calculating Stars,Mary Robinette Kowal,Yes,Project Hail Mary,Andy Weir,,Seveneves,Neal Stephenson,Yes,A Deadly Education,Naomi Novik,,The Strange Case of the Alchemist's Daughter,Theodora Goss,,Off to Be the Wizard,Scott Meyer,,Babel,R.F. Kuang,Yes,The Invisible Life of Addie LaRue,V.E. Schwab,Yes,A Wizard's Guide to Defensive Baking,T. Kingfisher,Yes,Legends & Lattes,Travis Baldree,Yes,The World We Make,N.K. Jemisin,Yes,A Master of Djinn,P. Djèlí Clark,,Children of Time,Adrian Tchaikovsky,Yes,Meet Me in Another Life,Catriona Silvey,Yes,The Gunslinger,Stephen King,Yes,,,,,,,,,,,The Midnight Library,Matt Haig,Yes,Unsouled,Will Wight,,We Are Legion (We Are Bob),Dennis E. Taylor,Yes,Black Sun,Rebecca Roanhorse,Yes,The Atlas Six,Olivie Blake,,Mount Fitz Roy,Scott Sigler,Yes,The Ten Thousand Doors of January,Alix E. Harrow,Yes
136.0,Set in Africa,Substitution: Format: Graphic Novel (at least 1 vol.) OR Audiobook / Audio drama (2020),Foundryside,Robert Jackson Bennett,Yes,What Moves the Dead,T. Kingfisher,Yes,My Lady Jane,"Cynthia Hand, Brodi Ashton, Jodi Meadows",Yes,Babel,R.F. Kuang,,The Unsettling Stars,Alan Dean Foster,,Upgrade,Blake Crouch,Yes,The Atlas Six,Olivie Blake,,The Cartographers,Peng Shepherd,,The Art of Prophecy,Wesley Chu,,Fevered Star,Rebecca Roanhorse,,The Picture of Dorian Gray,Oscar Wilde,Yes,The Last Sun,K.D. Edwards,,Eversion,Alastair Reynolds,,Book of Night,Holly Black,,Sandman Act III,Dirk Maggs,,The Witness for the Dead,Katherine Addison,,Sea of Tranquility,Emily St. John Mandel,,,,,Shadowdrop,Chris Willrich,The Last Serving,Lincoln Michel,Until It Has Your Reflection,Katherine Quevedo,Forty-Eight Minutes at the Trainview Cafe,M Bennardo,Wallers,Mari Ness,A Psalm for the Wild-Built,Becky Chambers,,White Trash Warlock,David R. Slayton,,The Measure,Nikki Erlick,Yes,Jade City,Fonda Lee,,Throne of the Crescent Moon,Saladin Ahmed,Yes,Gallant,V.E. Schwab,,The Golden Enclaves,Naomi Novik,Yes
137.0,,,Nona the Ninth,Tamsyn Muir,,Hyperion,Dan Simmons,Yes,Vita Nostra,"Marina Dyachenko, Sergey Dyachenko",,The Winter King,Bernard Cornwell,,Abaddon's Gate,James S.A. Corey,,Spear,Nicola Griffith,Yes,Undercover,Tamsyn Muir,,Legends & Lattes,Travis Baldree,,A Crown of Swords,Robert Jordan,Yes,Empire of Exiles,Erin M. Evans,,Jonathan Strange & Mr. Norrell,Susanna Clarke,Yes,Caliban's War,James S.A. Corey,Yes,Ashes of Man,Christopher Ruocchio,,The Ruin of Angels,Max Gladstone,Yes,The Haunting of Tram Car 015,P. Djèlí Clark,,A Prayer for the Crown-Shy,Becky Chambers,Yes,This is How You Lose the Time War,"Amal El-Mohtar, Max Gladstone",,The Ladies of Grace Adieu and Other Stories,Susanna Clarke,Yes,,,,,,,,,,,A Psalm for the Wild-Built,Becky Chambers,,Rise of the Ranger,Philip C. Quaintrell,Yes,Leviathan Wakes,James S.A. Corey,,A Master of Djinn,P. Djèlí Clark,,A Wizard of Earthsea,Ursula K. Le Guin,Yes,Full Fathom Five,Max Gladstone,Yes,Fool's Assassin,Robin Hobb,
138.0,,,Harrow the Ninth,Tamsyn Muir,,The Cloud Roads,Martha Wells,Yes,Daughter of the Empire,"Raymond E. Feist, Janny Wurts",,All the Seas of the World,Guy Gavriel Kay,Yes,Ocean's Echo,Everina Maxwell,Yes,To Each This World,Julie E. Czerneda,Yes,She Who Became the Sun,Shelley Parker-Chan,,A Strange and Stubborn Endurance,Foz Meadows,,Spear,Nicola Griffith,Yes,A Magic Steeped in Poison,Judy I. Lin,,Emily Wilde's Encyclopaedia of Faeries,Heather Fawcett,Yes,How to Rule an Empire and Get Away With It,K.J. Parker,Yes,Braking Day,Adam Oyebanji,Yes,The Atlas Six,Olivie Blake,Yes,The Rosewater Insurrection,Tade Thompson,Yes,The Grief of Stones,Katherine Addison,,Artifact Space,Miles Cameron,Yes,Moira's Pen,Megan Whalen Turner,Yes,,,,,,,,,,,The Spare Man,Mary Robinette Kowal,Yes,The Redoubtable Pali Avramapul,Victoria Goddard,Yes,The School for Good and Evil,Soman Chainani,Yes,Light from Uncommon Stars,Ryka Aoki,,Paladin's Strength,T. Kingfisher,Yes,Come Tumbling Down,Seanan McGuire,Yes,Speaking Bones,Ken Liu,Yes
139.0,,,The Raven King,Maggie Stiefvater,,The Kaiju Preservation Society,John Scalzi,Yes,Cursed: An Anthology of Dark Fairy Tales,Marie O'Regan,Yes,The Daughter of Doctor Moreau,Silvia Moreno-Garcia,Yes,Project Hail Mary,Andy Weir,,Bunny,Mona Awad,Yes,Interesting Times,Terry Pratchett,,All the Murmuring Bones,A.G. Slatter,,Clean Sweep,Ilona Andrews,,Ogres,Adrian Tchaikovsky,Yes,Dirk Gently's Holistic Detective Agency,Douglas Adams,Yes,Bryony and Roses,T. Kingfisher,Yes,Murder at Spindle Manor,Morgan Stang,,Rosemary and Rue,Seanan McGuire,,Redemption in Indigo,Karen Lord,Yes,Hollow Kingdom,Kira Jane Buxton,Yes,Dark Matter,Blake Crouch,Yes,Vampires in the Lemon Grove,Karen Russell,Yes,,,,,,,,,,,How to Be Eaten,Maria Adelmann,Yes,A Ghostly Request,Krista D. Ball,Yes,Space Opera,Catherynne M. Valente,,Trail of Lightning,Rebecca Roanhorse,Yes,Mooncakes,"Suzanne Walker, Wendy Xu",,Several People Are Typing,Calvin Kasulke,Yes,Garden Spells,Sarah Addison Allen,Yes
140.0,,,The Raven Tower,Ann Leckie,,Mistborn,Brandon Sanderson,Yes,This is How You Lose the Time War,"Amal El-Mohtar, Max Gladstone",,Pride and Prejudice and Zombies,Seth Grahame-Smith,,Record of a Spaceborn Few,Becky Chambers,Yes,The Stars My Destination,Alfred Bester,Yes,The Blade Itself,Joe Abercrombie,,Legends & Lattes,Travis Baldree,,Reaper,Will Wight,,The Traitor Baru Cormorant,Seth Dickinson,Yes,Harrow the Ninth,Tamsyn Muir,,Sixteen Ways to Defend a Walled City,K.J. Parker,Yes,Ogres,Adrian Tchaikovsky,,Summer Knight,Jim Butcher,,Who Fears Death,Nnedi Okorafor,Yes,Network Effect,Martha Wells,,Redshirts,John Scalzi,,Luminous,Greg Egan,Yes,,,,,,,,,,,The Calculating Stars,Mary Robinette Kowal,Yes,The Torch that Ignites the Stars,Andrew Rowe,,Nine Princes in Amber,Roger Zelazny,Yes,Daughter of the Moon Goddess,Sue Lynn Tan,,Wild Seed,Octavia E. Butler,,Pushing Ice,Alastair Reynolds,,Son of a Liche,J. Zachary Pike,
141.0,,,Swordspoint,Ellen Kushner,Yes,Midnight at the Well of Souls,Jack L. Chalker,Yes,The Steel Seraglio,"Louise Carey, Mike Carey, Linda Carey",Yes,The Chosen & the Beautiful,Nghi Vo,Yes,Ad Luna,Huw Steer,Yes,Cleansing Rain,Holly Ash,Yes,Six of Crows,Leigh Bardugo,Yes,All the Murmuring Bones,A.G. Slatter,Yes,Soul Taken,Patricia Briggs,Yes,She Who Became the Sun,Shelley Parker-Chan,Yes,The Traitor Baru Cormorant,Seth Dickinson,Yes,The Diamond Device,M. H. Thaung,Yes,Dead Man's Hand,James J. Butcher,Yes,Dreadful Company,Vivian Shaw,Yes,The Unbroken,C.L. Clark,Yes,Tooth and Claw,Jo Walton,Yes,The Blacktongue Thief,Christopher Buehlman,Yes,Into Shadow,"Tomi Champion-Adeyemi, Lev Grossman, Alix E. Harrow, Nghi Vo, Tamsyn Muir, Veronica G. Henry, Garth Nix",Yes,,,,,,,,,,,Mouse Cage,Malcolm F. Cross,Yes,The Pono Way: A Solarpunk Novel,Kirsten M. Corby,Yes,The Order of the Pure Moon Reflected in Water,Zen Cho,Yes,Trail of Lightning,Rebecca Roanhorse,Yes,Prudence,Gail Carriger,Yes,Magic for Liars,Sarah Gailey,Yes,The Emissary: A First Contact Novel,Michael J. Edwards,Yes
142.0,,,Drowned Country,Emily Tesh,Yes,The Fractal Prince,Hannu Rajaniemi,Yes,The Vela,"Yoon Ha Lee, Becky Chambers, Rivers Solomon, S.L. Huang",Yes,Ithaca,Claire North,Yes,Kingdoms of Death,Christopher Ruocchio,Yes,The Gate to Women's Country,Sheri S. Tepper,Yes,Iron Widow,Xiran Jay Zhao,Yes,Spear,Nicola Griffith,Yes,The Palace Job,Patrick Weekes,Yes,Babel,R.F. Kuang,Yes,Garth Marenghi's TerrorTome,Garth Marenghi,Yes,What Moves the Dead,T. Kingfisher,Yes,The Book Eaters,Sunyi Dean,Yes,Jade Legacy,Fonda Lee,Yes,After the Flare,Deji Bryce Olukotun,Yes,Hollow Kingdom,Kira Jane Buxton,Yes,Life After Life,Kate Atkinson,Yes,Storyland,Amy Jeffs,Yes,,,,,,,,,,,The Moonday Letters,Emmi Itäranta,Yes,The Cosantóirí,Zoe A. Jones,Yes,Trans-Galactic Bike Ride,Lydia Rogue,Yes,Black Sun,Rebecca Roanhorse,Yes,I Was a Teenage Weredeer,"C.T. Phipps, Michael Suttkus",Yes,Deep Wheel Orcadia,Harry Josephine Giles,Yes,Dark Eden,Chris Beckett,Yes
143.0,,,"The Long Way to a Small, Angry Planet",Becky Chambers,,Dawnshard,Brandon Sanderson,Yes,Vita Nostra,"Marina Dyachenko, Sergey Dyachenko",,The Vine Witch,Luanne G. Smith,Yes,The Tea Master and the Detective,Aliette de Bodard,,The Night Circus,Erin Morgenstern,,Six of Crows,Leigh Bardugo,Yes,Ella Enchanted,Gail Carson Levine,Yes,Carry On,Rainbow Rowell,Yes,The Goblin Emperor,Katherine Addison,,The Lies of Locke Lamora,Scott Lynch,Yes,A Wizard's Guide to Defensive Baking,T. Kingfisher,Yes,Her Majesty's Royal Coven,Juno Dawson,,An Unkindness of Magicians,Kat Howard,,Binti,Nnedi Okorafor,Yes,Legends & Lattes,Travis Baldree,Yes,This is How You Lose the Time War,"Amal El-Mohtar, Max Gladstone",Yes,Wyngraf,Nathaniel Webb,Yes,,,,,,,,,,,The Calculating Stars,Mary Robinette Kowal,Yes,Miss Percy's Pocket Guide to the Care and Feeding of British Dragons,Quenby Olson,,Good Omens,"Neil Gaiman, Terry Pratchett",,The Very Secret Society of Irregular Witches,Sangu Mandanna,,The House in the Cerulean Sea,T.J. Klune,Yes,Moon Over Soho,Ben Aaronovitch,Yes,The Testaments,Margaret Atwood,
