,gender,ethnicity,queer,nationality
Eric Czuleger,Unknown,Unknown,,Unknown
Aimé Césaire,Unknown,Unknown,,Unknown
Gerardo Sámano Córdova,Unknown,Unknown,,Unknown
Zoraida Córdova,Woman,Hispanic,False,Unknown
DC,Unknown,Unknown,,Unknown
Andrew Dabb,Unknown,Unknown,,Unknown
Christelle Dabos,Woman,White,False,Unknown
Roald Dahl,Man,White,False,Unknown
Blaine Daigle,Unknown,Unknown,,Unknown
Philip Daileader,Man,White,False,Unknown
Richard Dalby,Unknown,Unknown,,Unknown
Laura Kate Dale,Woman,White,True,Unknown
David Dalglish,Man,White,False,Unknown
Mia Dalia,Unknown,Unknown,,Unknown
Kara Dalkey,Woman,White,False,Unknown
Johanne Dallaire,Woman,White,False,Unknown
Trent Dalton,Man,White,False,Unknown
Grayson Daly,Unknown,Unknown,,Unknown
Joshua Dalzelle,Man,White,False,Unknown
Alain Damasio,Man,White,False,Unknown
Emily M. Danforth,Woman,White,True,Unknown
Joseph Daniel,Man,White,False,Unknown
Tony Daniel,Unknown,Unknown,,Unknown
Daniel Danielewski,Unknown,Unknown,,Unknown
Mark Z. Danielewski,Man,White,False,Unknown
Anthony Daniels,Man,White,False,Unknown
April Daniels,Woman,White,True,Unknown
J.C. Daniels,Woman,White,False,Unknown
A.B. Daniels-Annachi,Unknown,Unknown,,Unknown
Sean Danker,Unknown,Unknown,,Unknown
Kate Danley,Woman,White,False,Unknown
Jack Dann,Unknown,Unknown,,Unknown
Paul Dano,Unknown,Unknown,,Unknown
Richard Dansky,Unknown,Unknown,,Unknown
Julie C. Dao,Woman,Asian,False,Unknown
Zao Dao,Unknown,Unknown,,Unknown
H.E. Dare,Unknown,Unknown,,Unknown
Alexis Daria,Woman,Hispanic,False,Unknown
Oliver Darkshire,Unknown,Unknown,,Unknown
Cameron Darrow,Woman,White,True,Unknown
Lin Darrow,Unknown,Unknown,,Unknown
Alexander Darwin,Man,White,False,Unknown
Das,Unknown,Unknown,,Unknown
Indrapramit Das,Man,Asian,False,Unknown
Sayantani DasGupta,Unknown,Unknown,,Unknown
James Dashner,Unknown,Unknown,,Unknown
Ellen Datlow,Unknown,White,False,Unknown
Kathrina Mohd Daud,Unknown,Unknown,,Unknown
Somaiya Daud,Woman,Black,False,Unknown
Matthew Davenport,Unknown,Unknown,,Unknown
N.E. Davenport,Unknown,Unknown,,Unknown
Peter David,Unknown,Unknown,,Unknown
A.W. Davidson,Man,White,False,Unknown
Andy Davidson,Unknown,Unknown,,Unknown
Avram Davidson,Unknown,Unknown,,Unknown
Rjurik Davidson,Unknown,Unknown,,Unknown
C.C. Davie,Unknown,Unknown,,Unknown
Dalia Davies,Unknown,Unknown,,Unknown
Rhys Davies,Unknown,Unknown,,Unknown
Robertson Davies,Unknown,Unknown,,Unknown
Felicia Davin,Unknown,Unknown,,Unknown
Amanda Davis,Unknown,Unknown,,Unknown
Barbara Davis,Unknown,Unknown,,Unknown
Charlotte Nicole Davis,Woman,Black,True,Unknown
G. Haron Davis,Unknown,Unknown,,Unknown
Guy Davis,Unknown,Unknown,,Unknown
H. Anthe Davis,Unknown,Unknown,,Unknown
John Parke Davis,Unknown,Unknown,,Unknown
Kaitlyn Davis,Woman,White,False,Unknown
Lauren B. Davis,Unknown,Unknown,,Unknown
Milton Davis,Unknown,Unknown,,Unknown
Sarah Davis-Goff,Unknown,Unknown,,Unknown
Randee Dawn,Unknown,Unknown,,Unknown
N.J. Dawood,Unknown,Unknown,,Unknown
Delilah S. Dawson,Unknown,Unknown,,Unknown
J.R. Dawson,Unknown,Unknown,,Unknown
Juno Dawson,Unknown,Unknown,,Unknown
David Day,Man,White,False,Unknown
Felicia Day,Unknown,Unknown,,Unknown
J.A. Day,Unknown,Unknown,,Unknown
Julie C. Day,Unknown,Unknown,,Unknown
Kate Hope Day,Woman,White,True,Unknown
Keith R.A. DeCandido,Unknown,Unknown,,Unknown
John DeChancie,Man,White,False,Unknown
Kelly Sue DeConnick,Unknown,Unknown,,Unknown
Susan DeFreitas,Unknown,Unknown,,Unknown
Anya Johanna DeNiro,Unknown,Unknown,,Unknown
Maria DeVivo,Woman,White,False,Unknown
Jasper DeWitt,Unknown,Unknown,,Unknown
Saranna DeWylde,Unknown,Unknown,,Unknown
Emma Dean,Unknown,Unknown,,Unknown
Pamela Dean,Woman,White,False,Unknown
Sunyi Dean,Unknown,Unknown,,Unknown
Maya Deane,Unknown,Unknown,,Unknown
Jeanne-A. Debats,Unknown,Unknown,,Unknown
C.M. Debell,Unknown,Unknown,,Unknown
Bey Deckard,Unknown,Unknown,,Unknown
Kevin S. Decker,Unknown,Unknown,,Unknown
Marion Deeds,Unknown,Unknown,,Unknown
Anela Deen,Unknown,Unknown,,Unknown
Rachel Autumn Deering,Unknown,Unknown,,Unknown
Gideon Defoe,Unknown,Unknown,,Unknown
Alice Degan,Unknown,Unknown,,Unknown
Ted Dekker,Unknown,Unknown,,Unknown
Blayre Delacour,Unknown,Unknown,,Unknown
Claire Delacroix,Unknown,Unknown,,Unknown
Fletcher Delancey,Woman,White,False,Unknown
Joseph Delaney,Man,White,False,Unknown
Mar Delaney,Woman,White,True,Unknown
Wray Delaney,Woman,White,False,Unknown
Jamie Delano,Man,White,False,Unknown
Samuel R. Delany,Man,Black,True,Unknown
Delemhach,Unknown,Unknown,,Unknown
A.M. Dellamonica,Nonbinary,White,True,Unknown
Blue Delliquanti,Unknown,Unknown,,Unknown
Ashan Delon,Unknown,White,True,Unknown
A.J. Demas,Unknown,Unknown,,Unknown
Aaron Dembski-Bowden,Man,White,False,Unknown
David Demchuk,Unknown,Unknown,,Unknown
Joy Demers,Woman,White,False,Unknown
Joy Demorra,Woman,White,False,Unknown
Vaela Denarr,Unknown,Unknown,,Unknown
Susan Dennard,Woman,White,True,Unknown
G.S. Denning,Man,White,False,Unknown
Gabriel Denning,Man,White,False,Unknown
Rance D. Denton,Unknown,Unknown,,Unknown
Jason Denzel,Man,White,False,Unknown
Tracy Deonn,Woman,Black,False,Unknown
René Depestre,Man,Black,False,Unknown
Pavlo Derevianko,Unknown,Unknown,,Unknown
Joel Derfner,Unknown,Unknown,,Unknown
Megan Derr,Woman,White,False,Unknown
Mark Dery,Man,White,False,Unknown
Gorilla of Destiny,Unknown,Unknown,,Unknown
Zero Destiny,Unknown,Unknown,,Unknown
Éléonore Devillepoix,Unknown,Unknown,,Unknown
Malcolm Devlin,Unknown,Unknown,,Unknown
J.S. Dewes,Woman,White,False,Unknown
Aminder Dhaliwal,Unknown,Unknown,,Unknown
Payal Dhar,Unknown,Unknown,,Unknown
Kate DiCamillo,Unknown,Unknown,,Unknown
Craig DiLouie,Unknown,Unknown,,Unknown
Michael Dante DiMartino,Unknown,Unknown,,Unknown
Kate Diamond,Nonbinary,White,True,Unknown
Carola Dibbell,Unknown,Unknown,,Unknown
Damian Dibben,Man,White,False,Unknown
Matthew G. Dick,Man,White,False,Unknown
Philip K. Dick,Man,White,False,Unknown
Charles Dickens,Man,White,False,Unknown
Colin Dickey,Man,White,False,Unknown
Dominique Dickey,Unknown,Unknown,,Unknown
Danielle Dickie,Woman,White,False,Unknown
Peter Dickinson,Unknown,Unknown,,Unknown
Seth Dickinson,Man,White,False,Unknown
Gordon R. Dickson,Man,White,False,Unknown
H. Leighton Dickson,Woman,White,False,Unknown
Michelle Diener,Unknown,Unknown,,Unknown
William Dietrich,Unknown,Unknown,,Unknown
Dilman Dila,Unknown,Unknown,,Unknown
Margaret Dilloway,Unknown,Unknown,,Unknown
Ljuben Dilov,Unknown,Unknown,,Unknown
Cherie Dimaline,Woman,Native,False,Unknown
Robert Dimsdale,Man,White,False,Unknown
Ana Lal Din,Unknown,Unknown,,Unknown
Matt Dinniman,Man,White,False,Unknown
Rob Dircks,Unknown,Unknown,,Unknown
Catie Disabato,Unknown,Unknown,,Unknown
Clare Diston,Unknown,Unknown,,Unknown
Chitra Banerjee Divakaruni,Woman,Asian,False,Unknown
Divosia,Unknown,Unknown,,Unknown
S.B. Divya,Nonbinary,Asian,True,Unknown
Larry Dixon,Unknown,Unknown,,Unknown
Ruby Dixon,Woman,White,False,Unknown
Djuna,Unknown,Unknown,,Unknown
Anh Do,Unknown,Unknown,,Unknown
Desmond Doane,Unknown,Unknown,,Unknown
E.J. Doble,Unknown,Unknown,,Unknown
Ben S. Dobson,Man,White,False,Unknown
Dave Dobson,Man,White,False,Unknown
Dobson,Unknown,Unknown,,Unknown
Justin Dockins,Unknown,Unknown,,Unknown
Cory Doctorow,Man,White,False,Unknown
Emerald Dodge,Woman,White,False,Unknown
Jessica Dodge,Unknown,Unknown,,Unknown
Anthony Doerr,Man,White,False,Unknown
Mark Doerr,Unknown,Unknown,,Unknown
Berlie Doherty,Woman,White,False,Unknown
Jeffery E Doherty,Unknown,Unknown,,Unknown
Meghan Ciana Doidge,Unknown,Unknown,,Unknown
Dojyomaru,Man,Asian,False,Unknown
Tsana Dolichva,Woman,White,False,Unknown
C. Dombrowski,Unknown,Unknown,,Unknown
Lari Don,Unknown,Unknown,,Unknown
Emma Donahugh,Unknown,Unknown,,Unknown
Stephen R. Donaldson,Man,White,False,Unknown
George Donnelly,Unknown,Unknown,,Unknown
Lara Elena Donnelly,Woman,White,True,Unknown
Emma Donoghue,Unknown,Unknown,,Unknown
Jennifer R. Donohue,Woman,White,False,Unknown
Jose Donoso,Man,Hispanic,False,Unknown
Patrick Donovan,Unknown,Unknown,,Unknown
Jeremy Dooley,Unknown,Unknown,,Unknown
K.A. Doore,Nonbinary,White,True,Unknown
Joseph O. Doran,Man,White,False,Unknown
Nerine Dorman,Unknown,Unknown,,Unknown
John Dorney,Unknown,Unknown,,Unknown
Sveta Dorosheva,Unknown,Unknown,,Unknown
Candas Jane Dorsey,Unknown,Unknown,,Unknown
Doug Dorst,Unknown,Unknown,,Unknown
James D. Doss,Unknown,Unknown,,Unknown
Gene Doucette,Man,White,False,Unknown
Kirk Dougal,Man,White,False,Unknown
Ian Douglas,Unknown,Unknown,,Unknown
Wren Douglas,Nonbinary,White,True,Unknown
Ryan Douglass,Unknown,Unknown,,Unknown
Sara Douglass,Woman,White,False,Unknown
Honey Dover,Unknown,Unknown,,Unknown
Alechia Dow,Woman,Black,False,Unknown
Siobhan Dowd,Unknown,Unknown,,Unknown
Amanda Downum,Woman,White,True,Unknown
Catherine Doyle,Unknown,Unknown,,Unknown
Gardner Dozois,Unknown,Unknown,,Unknown
Aşkın-Hayat Doğan,Unknown,Unknown,,Unknown
Zacariah Dracoulis,Man,White,False,Unknown
Lindsey Drager,Unknown,Unknown,,Unknown
Gyorgy Dragoman,Man,White,False,Unknown
DragonOfRochester,Unknown,Unknown,,Unknown
David Drake,Unknown,Unknown,,Unknown
Jocelynn Drake,Woman,White,False,Unknown
Piper J. Drake,Unknown,Unknown,,Unknown
Scarlett Drake,Unknown,Unknown,,Unknown
Scott Drakeford,Unknown,Unknown,,Unknown
Dylan Drakes,Unknown,Unknown,,Unknown
Susan Draper,Unknown,Unknown,,Unknown
Grace Draven,Woman,White,False,Unknown
Zoey Draven,Unknown,Unknown,,Unknown
Nicky Drayden,Woman,Black,False,Unknown
Sarah Dreher,Woman,White,True,Unknown
Becky Dreistadt,Unknown,Unknown,,Unknown
Ashlyn Drewek,Unknown,Unknown,,Unknown
Elle Driver,Unknown,Unknown,,Unknown
Michael D. C. Drout,Man,White,False,Unknown
Steven Drozd,Unknown,Unknown,,Unknown
Sofia Drummond-Moore,Woman,White,False,Unknown
A.K. DuBoff,Unknown,Unknown,,Unknown
Jeanne DuPrau,Unknown,Unknown,,Unknown
Diane Duane,Woman,White,False,Unknown
Katharine Duckett,Woman,White,True,Unknown
Michael Duda,Unknown,Unknown,,Unknown
Karen Dudley,Unknown,Unknown,,Unknown
Tananarive Due,Woman,Black,False,Unknown
Amber R. Duell,Unknown,Unknown,,Unknown
Stella Duffy,Unknown,Unknown,,Unknown
Renee Dugan,Woman,White,False,Unknown
Jacek Dukaj,Man,White,False,Unknown
James Lloyd Dulin,Unknown,Unknown,,Unknown
Alexandre Dumas,Unknown,Unknown,,Unknown
Tom Dumbrell,Man,White,False,Unknown
Jelena Dunato,Unknown,Unknown,,Unknown
Debra Dunbar,Woman,White,False,Unknown
Eboni Dunbar,Unknown,Unknown,,Unknown
Dan Duncan,Unknown,Unknown,,Unknown
Dave Duncan,Man,White,False,Unknown
Emily A. Duncan,Nonbinary,White,True,Unknown
Glen Duncan,Unknown,Unknown,,Unknown
Hal Duncan,Unknown,Unknown,,Unknown
R.K. Duncan,Unknown,Unknown,,Unknown
Rod Duncan,Unknown,Unknown,,Unknown
Margaret Dunlap,Unknown,Unknown,,Unknown
Mallory Dunlin,Unknown,Unknown,,Unknown
Kat Dunn,Unknown,Unknown,,Unknown
Mark Dunn,Unknown,Unknown,,Unknown
Lord Dunsany,Man,White,False,Unknown
S.K. Dunstall,Woman,White,False,Unknown
Maxime J. Durand,Man,White,False,Unknown
Brian Lee Durfee,Man,White,False,Unknown
David Anthony Durham,Unknown,Unknown,,Unknown
Ellie Durkin,Unknown,Unknown,,Unknown
Sarah Beth Durst,Woman,White,False,Unknown
Dianne Duvall,Unknown,Unknown,,Unknown
Claire Duvivier,Unknown,Unknown,,Unknown
Corinne Duyvis,Unknown,Unknown,,Unknown
Marina Dyachenko,Unknown,Unknown,,Unknown
Sergey Dyachenko,Unknown,Unknown,,Unknown
Dycefic,Unknown,Unknown,,Unknown
Thoraiya Dyer,Woman,White,False,Unknown
Andrew Dykstal,Unknown,Unknown,,Unknown
Kate Dylan,Unknown,Unknown,,Unknown
Count E,Woman,Asian,,Unknown
David Eagleman,Unknown,Unknown,,Unknown
Nicholas Eames,Man,White,False,Unknown
Robert Eames,Unknown,Unknown,,Unknown
Michael-Scott Earle,Man,White,False,Unknown
K. Eason,Woman,White,False,Unknown
James Eastman,Unknown,Unknown,,Unknown
Kevin Eastman,Unknown,Unknown,,Unknown
David Ebenbach,Man,White,False,Unknown
Jason T. Eberl,Unknown,Unknown,,Unknown
Ali Cobby Eckermann,Unknown,Unknown,,Unknown
Patricia Eckermann,Unknown,Unknown,,Unknown
Daniel Martin Eckhart,Unknown,Unknown,,Unknown
Umberto Eco,Man,White,False,Unknown
Derin Edala,Unknown,Unknown,,Unknown
David Eddings,Man,White,False,Unknown
E.R. Eddison,Man,White,False,Unknown
Marc Alan Edelheit,Man,White,False,Unknown
Scott Edelman,Unknown,Unknown,,Unknown
Rosemary Edghill,Unknown,Unknown,,Unknown
H.E. Edgmon,Nonbinary,White,True,Unknown
Lisa Edmonds,Unknown,Unknown,,Unknown
Jamie Edmundson,Unknown,Unknown,,Unknown
Melissa Edmundson,Woman,White,False,Unknown
EdonTigney,Unknown,Unknown,,Unknown
Amelia B. Edwards,Unknown,Unknown,,Unknown
Claudia Edwards,Unknown,Unknown,,Unknown
Coyote J.M. Edwards,Unknown,Unknown,,Unknown
Davinia Edwards,Unknown,Unknown,,Unknown
Graham Edwards,Man,White,False,Unknown
Hailey Edwards,Woman,White,False,Unknown
K.D. Edwards,Man,White,True,Unknown
Michael J. Edwards,Unknown,Unknown,,Unknown
Imogen Edwards-Jones,Woman,White,False,Unknown
Susan Ee,Unknown,Unknown,,Unknown
Greg van Eekhout,Man,Asian,False,Unknown
G.A. Effinger,Man,White,False,Unknown
George Alec Effinger,Unknown,Unknown,,Unknown
Doris Egan,Woman,White,True,Unknown
Greg Egan,Man,White,False,Unknown
Jennifer Egan,Unknown,Unknown,,Unknown
Julie C. Eger,Unknown,Unknown,,Unknown
Egestigi,Unknown,Unknown,,Unknown
S.K. Ehra,Unknown,Unknown,,Unknown
Heather Einhorn,Unknown,Unknown,,Unknown
Alex Eiseman,Woman,White,True,Unknown
Phyllis Eisenstein,Unknown,Unknown,,Unknown
Cecilia Ekback,Woman,White,False,Unknown
C.C. Ekeke,Unknown,Unknown,,Unknown
Oghenechovwe Donald Ekpeki,Unknown,Black,False,Unknown
David Ekrut,Unknown,Unknown,,Unknown
Francesca Ekwuyasi,Woman,Black,True,Unknown
Omar El-Akkad,Unknown,Unknown,,Unknown
Saara El-Arifi,Unknown,Unknown,,Unknown
Karl El-Koura,Unknown,Unknown,,Unknown
Amal El-Mohtar,Woman,Asian,False,Unknown
Asher Elbein,Unknown,Unknown,,Unknown
Sara Bergmark Elfgren,Woman,White,False,Unknown
Suzette Haden Elgin,Unknown,Unknown,,Unknown
Safia Elhillo,Unknown,Unknown,,Unknown
Serra Elinsen,Unknown,Unknown,,Unknown
George Eliot,Unknown,Unknown,,Unknown
Meg Elison,Nonbinary,White,True,Unknown
M.L. Eliza,Unknown,Unknown,,Unknown
Inua Ellams,Unknown,Unknown,,Unknown
Lauren Ellen,Unknown,Unknown,,Unknown
Elliot,Unknown,Unknown,,Unknown
J.W. Elliot,Unknown,Unknown,,Unknown
Kate Elliott,Woman,White,False,Unknown
Will Elliott,Unknown,Unknown,,Unknown
Zetta Elliott,Unknown,Unknown,,Unknown
Adam Ellis,Unknown,Unknown,,Unknown
Azalea Ellis,Unknown,Unknown,,Unknown
Grace Ellis,Unknown,Unknown,,Unknown
Lindsay Ellis,Woman,White,False,Unknown
Peter Berresford Ellis,Unknown,Unknown,,Unknown
Sigrid Ellis,Unknown,Unknown,,Unknown
Warren Ellis,Man,White,False,Unknown
Zoey Ellis,Unknown,Unknown,,Unknown
Harlan Ellison,Man,White,False,Unknown
Raymond St. Elmo,Man,White,False,Unknown
Abi Elphinstone,Woman,White,False,Unknown
P.N. Elrod,Unknown,Unknown,,Unknown
Hadeer Elsbai,Unknown,Unknown,,Unknown
Cary Elwes,Man,White,False,Unknown
Lyndsay Ely,Woman,White,True,Unknown
Julia Ember,Unknown,Unknown,,Unknown
Stephen Embleton,Unknown,Unknown,,Unknown
Hal Emerson,Unknown,Unknown,,Unknown
Ramona Emerson,Unknown,Unknown,,Unknown
Akwaeke Emezi,Nonbinary,Black,True,Unknown
Sharon Emmerichs,Unknown,Unknown,,Unknown
S.C. Emmett,Unknown,Unknown,,Unknown
Mashimesa Emoto,Unknown,Unknown,,Unknown
Ruthanna Emrys,Woman,White,False,Unknown
J.S. Emuakpor,Unknown,Black,False,Unknown
Michael Ende,Man,White,False,Unknown
Tatsuya Endo,Man,Asian,False,Unknown
Guy Endore,Man,White,False,Unknown
Sylvia Engdahl,Unknown,Unknown,,Unknown
Sylvia Louise Engdahl,Unknown,Unknown,,Unknown
Christina Engela,Woman,White,False,Unknown
Marie Enger,Unknown,Unknown,,Unknown
M.J. Engh,Unknown,Unknown,,Unknown
Coleman Engle,Unknown,Unknown,,Unknown
Charlotte E. English,Woman,White,False,Unknown
Keith Edward English,Unknown,Unknown,,Unknown
Elizabeth Engstrom,Woman,White,False,Unknown
Thomas Engstrom,Unknown,Unknown,,Unknown
Hiron Ennes,Unknown,Unknown,,Unknown
Garth Ennis,Unknown,Unknown,,Unknown
Joel Enos,Unknown,Unknown,,Unknown
Alvaro Enrigue,Unknown,Unknown,,Unknown
Mariana Enríquez,Woman,Hispanic,False,Unknown
Doug Enstrom,Man,White,False,Unknown
Omar Epps,Unknown,Unknown,,Unknown
Nazlı Eray,Unknown,Unknown,,Unknown
Edward M. Erdelac,Man,White,False,Unknown
Emily Erdos,Unknown,Unknown,,Unknown
Louise Erdrich,Woman,Native,False,Unknown
D.N. Erikson,Unknown,Unknown,,Unknown
Josh Erikson,Man,White,False,Unknown
Steven Erikson,Man,White,False,Unknown
Nikki Erlick,Unknown,Unknown,,Unknown
Brent Ermilio,Man,White,False,Unknown
Shea Ernshaw,Woman,White,False,Unknown
Vasily Eroshenko,Unknown,Unknown,,Unknown
ErraticErrata,Man,White,False,Unknown
Barbara Erskine,Unknown,Unknown,,Unknown
Sherri Browning Erwin,Unknown,Unknown,,Unknown
Andreas Eschbach,Man,White,False,Unknown
Anissa Espinosa,Unknown,Unknown,,Unknown
Laura Esquivel,Woman,Hispanic,False,Unknown
Ian C. Esslemont,Man,White,False,Unknown
Jennifer Estep,Woman,White,False,Unknown
L.G. Estrella,Woman,Hispanic,False,Unknown
A.S. Etaski,Unknown,Unknown,,Unknown
Sarah Rose Etter,Unknown,Unknown,,Unknown
Euphridia,Unknown,Unknown,,Unknown
Euripides,Man,White,False,Unknown
Abbie Evans,Unknown,Unknown,,Unknown
Davinia Evans,Unknown,Unknown,,Unknown
Erin M. Evans,Unknown,Unknown,,Unknown
J.D. Evans,Woman,White,False,Unknown
Johannes T. Evans,Man,White,True,Unknown
Jon Evans,Unknown,Unknown,,Unknown
Lucy Evans,Unknown,Unknown,,Unknown
Maz Evans,Unknown,Unknown,,Unknown
Robert Evans,Unknown,Unknown,,Unknown
S. Usher Evans,Unknown,Unknown,,Unknown
Bernardine Evaristo,Unknown,Unknown,,Unknown
Jaymin Eve,Woman,White,False,Unknown
Laure Eve,Woman,White,False,Unknown
Eliza Eveland,Unknown,Unknown,,Unknown
Bilquis Evely,Unknown,Unknown,,Unknown
Brian Evenson,Man,White,False,Unknown
Percival Everett,Man,Black,False,Unknown
Al Ewing,Man,White,False,Unknown
A.W. Exley,Woman,White,False,Unknown
Exterminatus,Unknown,Unknown,,Unknown
Exurb1a,Man,White,False,Unknown
Michel Faber,Man,White,False,Unknown
Kathrine Fabian,Unknown,Unknown,,Unknown
Deva Fagan,Unknown,Unknown,,Unknown
D.O. Fagunwa,Man,Black,False,Unknown
Hafsah Faizal,Woman,Asian,False,Unknown
Kali Fajardo-Anstine,Unknown,Unknown,,Unknown
Deborah Falaye,Unknown,Unknown,,Unknown
James Falcon,Unknown,Unknown,,Unknown
Isabel Fall,Woman,White,True,Unknown
Jennifer Fallon,Unknown,Unknown,,Unknown
Jane S. Fancher,Unknown,Unknown,,Unknown
J. Sheridan Le Fanu,Man,White,False,Unknown
Aysha U. Farah,Unknown,Unknown,,Unknown
David Farland,Man,White,False,Unknown
Nancy Farmer,Unknown,Unknown,,Unknown
Philip José Farmer,Man,Hispanic,False,Unknown
Adam Farquharson,Unknown,Unknown,,Unknown
Sam Farren,Nonbinary,Hispanic,True,Unknown
Clelia Farris,Unknown,Unknown,,Unknown
John Farris,Unknown,Unknown,,Unknown
Becca Farrow,Unknown,Unknown,,Unknown
Greg Farshtey,Unknown,Unknown,,Unknown
Howard Fast,Man,White,False,Unknown
A.K. Faulkner,Unknown,Unknown,,Unknown
Amelia Faulkner,Unknown,Unknown,,Unknown
William Faulkner,Man,White,False,Unknown
Alethea Faust,Unknown,Unknown,,Unknown
Freya Faust,Woman,White,True,Unknown
Joe Clifford Faust,Man,White,False,Unknown
Lola Faust,Unknown,Unknown,,Unknown
Bill Fawcett,Unknown,Unknown,,Unknown
Heather Fawcett,Unknown,Unknown,,Unknown
Shannon Fay,Unknown,Unknown,,Unknown
Thomas Fay,Unknown,Unknown,,Unknown
Audrey Faye,Unknown,Unknown,,Unknown
Estelle Faye,Unknown,Unknown,,Unknown
Mitriel Faywood,Unknown,Unknown,,Unknown
Brien Feathers,Unknown,Unknown,,Unknown
Chani Lynn Feener,Unknown,Unknown,,Unknown
Peter Fehervari,Man,White,False,Unknown
E.S. Fein,Unknown,Unknown,,Unknown
Raymond E. Feist,Man,White,False,Unknown
Stephanie Feldman,Unknown,Unknown,,Unknown
Gretchen Felker-Martin,Woman,White,True,Unknown
Isaac Fellman,Man,White,True,Unknown
Tom Felton,Unknown,Unknown,,Unknown
Finley Fenn,Unknown,Unknown,,Unknown
Violet Fenn,Unknown,Unknown,,Unknown
Molly Fennig,Unknown,Unknown,,Unknown
Fennric,Unknown,Unknown,,Unknown
Lana Ferguson,Unknown,Unknown,,Unknown
Mark Andrew Ferguson,Man,White,False,Unknown
M.F. Ferma,Unknown,Unknown,,Unknown
Cristina Fernandez,Unknown,Unknown,,Unknown
Ariana Ferrante,Unknown,Unknown,,Unknown
Mark J. Ferrari,Unknown,Unknown,,Unknown
Illimani Ferreira,Man,Hispanic,False,Unknown
Sónia Ferreira,Unknown,Unknown,,Unknown
Jean-Yves Ferri,Man,White,False,Unknown
Franck Ferric,Man,White,False,Unknown
Stéphane Fert,Unknown,Unknown,,Unknown
Jean-Louis Fetjaine,Unknown,Unknown,,Unknown
Sam Feuerbach,Man,White,False,Unknown
Risa Fey,Unknown,Unknown,,Unknown
Jasper Fforde,Man,White,False,Unknown
J.S. Fields,Unknown,Unknown,,Unknown
Eden Fierce,Woman,White,False,Unknown
Richard Fierce,Man,White,False,Unknown
Gemma Files,Unknown,Unknown,,Unknown
Eric Filler,Unknown,Unknown,,Unknown
Louise Finch,Unknown,Unknown,,Unknown
Sheila Finch,Unknown,Unknown,,Unknown
David Fincher,Unknown,Unknown,,Unknown
Nigel Findley,Unknown,Unknown,,Unknown
Sarah Fine,Unknown,Unknown,,Unknown
Jess Fink,Unknown,Unknown,,Unknown
Joseph Fink,Unknown,Unknown,,Unknown
C.C. Finlay,Man,White,False,Unknown
Marina Finlayson,Unknown,Unknown,,Unknown
Jack Finney,Man,White,False,Unknown
David Fisher,Unknown,Unknown,,Unknown
Mark Fisher,Man,White,False,Unknown
Sharon Lynn Fisher,Unknown,Unknown,,Unknown
J. Nick Fisk,Unknown,Unknown,,Unknown
Matt Fitton,Unknown,Unknown,,Unknown
Leod D. Fitz,Unknown,Unknown,,Unknown
Molly Fitz,Unknown,Unknown,,Unknown
Burke FitzPatrick,Unknown,Unknown,,Unknown
Matthew FitzSimmons,Man,White,False,Unknown
Bea Fitzgerald,Unknown,Unknown,,Unknown
Dan Fitzgerald,Unknown,Unknown,,Unknown
Mara Fitzgerald,Unknown,Unknown,,Unknown
Patrice Fitzgerald,Unknown,Unknown,,Unknown
Becca Fitzpatrick,Unknown,Unknown,,Unknown
A.J. Fitzwater,Unknown,Unknown,,Unknown
Newt Flamel,Unknown,Unknown,,Unknown
Flameruner,Unknown,Unknown,,Unknown
John Flanagan,Man,White,False,Unknown
Peter A. Flannery,Man,White,False,Unknown
Aimee Fleck,Unknown,Unknown,,Unknown
Anna Fleck,Unknown,Unknown,,Unknown
L.K. Fleet,Unknown,Unknown,,Unknown
Robert H. Fleming,Man,White,False,Unknown
Brenden Fletcher,Unknown,Unknown,,Unknown
C.A. Fletcher,Man,White,False,Unknown
Helen Vivienne Fletcher,Unknown,Unknown,,Unknown
Jane Fletcher,Woman,White,True,Unknown
Michael R. Fletcher,Man,White,False,Unknown
Sasha Fletcher,Unknown,Unknown,,Unknown
Lynn Flewelling,Woman,White,False,Unknown
Alexandra Flint,Unknown,Unknown,,Unknown
Eric Flint,Unknown,Unknown,,Unknown
Aiki Flinthart,Woman,White,False,Unknown
Arianna Florean,Unknown,Unknown,,Unknown
Fernando A. Flores,Man,Hispanic,False,Unknown
Francesca Flores,Woman,Hispanic,True,Unknown
Madeleine Flores,Unknown,Unknown,,Unknown
Max Florschutz,Unknown,Unknown,,Unknown
Flossindune,Unknown,Unknown,,Unknown
Avery Flynn,Unknown,Unknown,,Unknown
Chris Flynn,Unknown,Unknown,,Unknown
Gillian Flynn,Unknown,Unknown,,Unknown
Michael Flynn,Man,White,False,Unknown
Vanessa Fogg,Unknown,Unknown,,Unknown
E.G. Foley,Unknown,Unknown,,Unknown
Kate Folk,Unknown,Unknown,,Unknown
Hans Frederik Follestad,Unknown,Unknown,,Unknown
Timothée de Fombelle,Unknown,Unknown,,Unknown
E.M. Foner,Unknown,Unknown,,Unknown
M.V. Fontaine,Unknown,White,,Unknown
Amanda Foody,Woman,White,False,Unknown
Footloose,Unknown,Unknown,,Unknown
Lani Forbes,Unknown,Unknown,,Unknown
M.R. Forbes,Man,White,False,Unknown
Daniel M. Ford,Unknown,Unknown,,Unknown
Drew Ford,Unknown,Unknown,,Unknown
Jackson Ford,Unknown,Unknown,,Unknown
