Author,gender,ethnicity,queer
Drew Karpyshyn,Man,White,FALSE
Drew Montgomery,Man,White,FALSE
Duncan Masica,Man,White,FALSE
Dyrk Ashton,Man,White,FALSE
E. Jade Lomax,Woman,Black,TRUE
E. Latimer,Woman,White,FALSE
E. Lily Yu,Woman,Asian,FALSE
E. Nesbit,Woman,White,FALSE
E. William Brown,Man,White,FALSE
E.A. Copen,Woman,White,FALSE
E.B. Wheeler,Woman,White,FALSE
E.C. Bell,Woman,White,FALSE
E.E. Knight,Man,White,FALSE
E.E. McGill,Woman,White,FALSE
E.E. Smith,Man,White,FALSE
E.J. Beaton,Woman,White,FALSE
E.J. Copperman,Man,White,FALSE
E.J. Mellow,Woman,White,FALSE
E.K. Johnston,Woman,White,FALSE
E.R. Eddison,Man,White,FALSE
Ebony Elizabeth Thomas,Woman,Black,FALSE
Ed McDonald,Man,White,TRUE
Eddie Robson,Man,White,TRUE
Eden Appiah-Kubi,Woman,Black,FALSE
Eden Fierce,Woman,White,FALSE
Eden Robinson,Woman,Native,FALSE
Eden Royce,Woman,Black,FALSE
Edgar Allen Poe,Man,White,FALSE
Edgar Rice Burroughs,Man,White,FALSE
Edith Hamilton,Woman,White,FALSE
Eduardo Vaquerizo,Man,White,FALSE
Edward M. Erdelac,Man,White,FALSE
Edward Nile,Man,White,FALSE
Edward Parnell,Man,White,FALSE
Edward Willett,Man,White,FALSE
Effie Calvin,Woman,White,TRUE
Effie Seiberg,Woman,White,FALSE
Eiichiro Oda,Man,Asian,FALSE
Eiko Kadono,Woman,Asian,FALSE
Ekaterina Sedia,Woman,White,FALSE
Elan Marche & Christopher Warman,Unknown,White,FALSE
Elayne Audrey Becker,Woman,White,FALSE
Eleanor Arnason,Woman,White,FALSE
Eleanor Smith,Woman,White,FALSE
Eli Lee,Woman,White,FALSE
Elia Barcelo,Woman,White,FALSE
Elias Lonnrot,Man,White,FALSE
Eliezer Yudkowsky,Man,White,FALSE
Elijah Menchaca,Man,Hispanic,FALSE
Eliot Schrefer,Man,White,TRUE
Elisabeth Thomas,Woman,Black,FALSE
Elise Kova,Woman,White,FALSE
Eliza Andrews,Woman,White,FALSE
Elizabeth A. Lynn,Woman,White,TRUE
Elizabeth Acevedo,Woman,Black,FALSE
Elizabeth Bear,Woman,White,TRUE
Elizabeth Bear & Sarah Monette,Woman,White,TRUE
Elizabeth Engstrom,Woman,White,FALSE
Elizabeth Hand,Woman,White,FALSE
Elizabeth Jeannel,Woman,White,TRUE
Elizabeth Knox,Woman,White,FALSE
Elizabeth Kostova,Woman,White,FALSE
Elizabeth Langston,Woman,White,FALSE
Elizabeth Lim,Woman,Asian,FALSE
Elizabeth Moon,Woman,White,FALSE
Elizabeth Schaefer,Unknown,White,FALSE
Elizabeth Wein,Woman,White,FALSE
Ellen Datlow,Unknown,White,FALSE
Ellen Klages,Woman,White,TRUE
Ellen Kushner,Woman,White,TRUE
Elliot Brooks,Woman,White,FALSE
Elliott Scott,Man,Unknown,FALSE
Elly Bangs,Woman,White,TRUE
Elvira Bell,Woman,White,FALSE
Emerald Dodge,Woman,White,FALSE
Emily A. Duncan,Nonbinary,White,TRUE
Emily Carroll,Woman,White,TRUE
Emily Lloyd-Jones,Woman,White,FALSE
Emily M. Danforth,Woman,White,TRUE
Emily Skrutskie,Woman,White,TRUE
Emily St. John Mandel,Woman,White,FALSE
Emily Tesh,Woman,White,FALSE
Emily Victoria,Woman,White,TRUE
Emily Winfield Martin,Woman,White,FALSE
Emma Hamm,Woman,White,FALSE
Emma Newman,Woman,White,FALSE
Emmi Itaranta,Woman,White,FALSE
Endria Isa Richardson,Woman,Black,TRUE
Eoin Colfer,Man,White,FALSE
Eowyn Ivey,Woman,White,FALSE
Eric Frank Russell,Man,White,FALSE
Eric Garcia,Man,Hispanic,FALSE
Eric J. Juneau,Man,White,FALSE
Eric Jason Martin,Man,White,FALSE
Eric Lewis,Man,White,FALSE
Eric Lowe,Man,White,FALSE
Eric T. Knight,Man,White,FALSE
Eric Vall,Man,White,FALSE
Erik Schubach,Nonbinary,White,TRUE
Erika Swyler,Woman,White,FALSE
Erin A. Craig,Woman,White,FALSE
Erin Fulmer,Woman,White,TRUE
Erin Hunter,Woman,White,FALSE
Erin Johnson,Woman,White,FALSE
Erin MacDonald,Woman,White,FALSE
Erin Morgenstern,Woman,White,FALSE
Erin Sterling,Woman,White,FALSE
Erinn L. Kemper,Woman,White,FALSE
Ernest Cline,Man,White,FALSE
ErraticErrata,Man,White,FALSE
Eshkol Nevo,Man,White,FALSE
Essa Hansen,Woman,White,TRUE
Estelle Laure,Woman,White,FALSE
Ester Manzini,Woman,White,TRUE
Eugenia Triantafyllou,Woman,White,FALSE
Euripides,Man,White,FALSE
Eva Ibbotson,Woman,White,FALSE
Eva St. John,Woman,White,FALSE
Evan Winter,Man,Black,FALSE
Everil Worrell & Eli Colter & Mary Elizabeth Counselman & Greye La Spina,Woman,Unknown,None
Everina Maxwell,Woman,White,TRUE
Exurb1a,Man,White,FALSE
Ezekiel Boone,Man,White,FALSE
F.C. Yee,Man,Asian,FALSE
F.G. Cottam,Man,White,FALSE
F.T. Lukens,Nonbinary,White,TRUE
Faith Hunter,Woman,White,FALSE
Fanny Coutellier,Woman,White,FALSE
Farah Mendlesohn,Woman,White,TRUE
Felicia Yap,Woman,Asian,FALSE
Felipe Castilho,Man,Hispanic,FALSE
Felix Blackwell,Man,White,FALSE
Felix Gilman,Man,White,FALSE
Felix J. Palma,Man,White,FALSE
Fernando A. Flores,Man,Hispanic,FALSE
Ferran Varela,Man,White,FALSE
Ferrett Steinmetz,Man,White,FALSE
Finbar Hawkins,Man,White,FALSE
Fletcher Delancey,Woman,White,FALSE
Flint Maxwell,Man,White,FALSE
Fonda Lee,Woman,Asian,FALSE
Forthright,Woman,White,None
Fowler Brown,Man,White,FALSE
Fox Chapel Publishing,Unknown,Unknown,None
Foz Meadows,Nonbinary,White,TRUE
Frances Carden,Woman,White,FALSE
Frances Hardinge,Woman,White,FALSE
Francesca Ekwuyasi,Woman,Black,TRUE
Francesca Flores,Woman,Hispanic,TRUE
Francis James Blair,Man,White,FALSE
Franck Ferric,Man,White,FALSE
Frank Frazetta,Man,White,FALSE
Frank Herbert,Man,White,FALSE
Frank M. Robinson,Man,White,TRUE
Frank Schatzing,Man,White,FALSE
Franz Kafka,Man,White,FALSE
Fred Saberhagen,Man,White,FALSE
Freda Warrington,Woman,White,FALSE
Frederic Brremaud & Federico Bertolucci,Man,White,FALSE
Frederik Pohl,Man,White,FALSE
Fredric Brown,Man,White,FALSE
Fredric Jameson,Man,White,FALSE
Freya Faust,Woman,White,TRUE
Freya Marske,Woman,White,TRUE
Friedrich de la Motte Fouque,Man,White,FALSE
Fritz Leiber,Man,White,FALSE
From Hell,Man,Asian,FALSE
Fuminori Teshima,Unknown,Asian,FALSE
Funa,Man,Asian,FALSE
Fuyumi Ono,Woman,Asian,FALSE
G. Akella,Man,White,FALSE
G. Willow Wilson,Woman,White,FALSE
G.A. Aiken,Woman,White,FALSE
G.A. Effinger,Man,White,FALSE
G.K. Chesterton,Man,White,FALSE
G.M. Nair,Man,Asian,FALSE
G.R. Matthews,Man,White,FALSE
G.S. Denning,Man,White,FALSE
G.V. Anderson,Woman,White,FALSE
Gabby Hutchinson Crouch,Woman,White,FALSE
Gabino Iglesias,Man,Hispanic,FALSE
Gabriel Denning,Man,White,FALSE
Gabriel Garcia Marquez,Man,Hispanic,FALSE
Gabriel Urbina,Man,Hispanic,FALSE
Gabriela Houston,Woman,White,FALSE
Gabrielle Squailia,Woman,White,TRUE
Gael Baudino,Woman,White,FALSE
Gage Lee,Man,White,FALSE
Gail Carriger,Woman,White,FALSE
Gail Carson Levine,Woman,White,FALSE
Galadriel Coffeen,Woman,White,FALSE
GamingWolf,Man,White,FALSE
Gareth Hanrahan,Man,White,FALSE
Gareth L. Powell,Man,White,FALSE
Garon Whited,Man,White,FALSE
Garry Kilworth,Man,White,FALSE
Garth Nix,Man,White,FALSE
Gary Kirchner,Man,White,FALSE
Gav Thorpe,Man,White,FALSE
Gayl Jones,Woman,Black,FALSE
Gene Doucette,Man,White,FALSE
Gene Luen Yang & Bryan Konietzko & Michael Dante DiMartino,Man,Unknown,FALSE
Gene Roddenbery,Man,White,FALSE
Gene Wolfe,Man,White,FALSE
Genevieve Cogman,Woman,White,FALSE
Genevieve Gornichec,Woman,White,TRUE
Genki Kawamura,Man,Asian,FALSE
George MacDonald,Man,White,FALSE
George Orwell,Man,White,FALSE
George R.R. Martin,Man,White,FALSE
George Saunders,Man,White,FALSE
Georgina Kamsika,Nonbinary,Asian,TRUE
Gerald Morris,Man,White,FALSE
Geraldine Harris,Woman,White,FALSE
Gerry Anderson,Man,White,FALSE
Gideon Marcus,Woman,White,None
Gigi Pandian,Woman,White,FALSE
Gina Wisker,Woman,White,FALSE
Ginn Hale,Woman,White,FALSE
Gish Jen,Woman,Asian,FALSE
Gita Trelease,Woman,White,FALSE
Glen Cook,Man,White,FALSE
Glen Hirshberg,Man,White,FALSE
Glendy Vanderah,Woman,White,FALSE
Gloria Naylor,Woman,Black,FALSE
Glynn Stewart,Man,White,FALSE
Gordon Andrews,Man,White,FALSE
Gordon R. Dickson,Man,White,FALSE
Grace Draven,Woman,White,FALSE
Grace Lin,Woman,Asian,FALSE
Grady Hendrix,Man,White,FALSE
Graeme Shimmin,Unknown,Unknown,None
Graham Austin-King,Man,White,FALSE
Graham Edwards,Man,White,FALSE
Graham Masterton,Man,White,FALSE
Grant Morrison,Man,White,FALSE
Greg Bear,Man,White,FALSE
Greg Egan,Man,White,FALSE
Greg Mongrain,Man,White,FALSE
Greg van Eekhout,Man,Asian,FALSE
Gregory Maguire,Man,White,FALSE
Greta Kelly,Woman,White,FALSE
Gretchen Felker-Martin,Woman,White,TRUE
Griffin McElroy,Man,White,FALSE
Gu Shi,Woman,Asian,FALSE
Guerric Hache,Man,White,FALSE
Guillermo Del Toro & Chuck Hogan,Man,White,FALSE
Guillermo del Toro & Cornelia Funke,Unknown,White,FALSE
Gus Moreno,Man,Hispanic,FALSE
Guy Adams,Man,White,FALSE
Guy Endore,Man,White,FALSE
Guy Gavriel Kay,Man,White,FALSE
Guy Haley,Man,White,FALSE
Gyorgy Dragoman,Man,White,FALSE
H. Beam Piper,Man,White,FALSE
H. Leighton Dickson,Woman,White,FALSE
H.C. Mills,Man,White,FALSE
H.E. Edgmon,Nonbinary,White,TRUE
H.G. Parry,Woman,White,FALSE
H.G. Wells,Man,White,FALSE
H.L. Fullerton,Unknown,Unknown,None
H.L. Macfarlane,Unknown,White,FALSE
H.L. Tinsley,Woman,White,FALSE
H.M. Long,Woman,White,FALSE
H.P. Lovecraft,Man,White,FALSE
H.Y. Hanna,Woman,Asian,FALSE
Hafsah Faizal,Woman,Asian,FALSE
Hailey Edwards,Woman,White,FALSE
Hailey Piper,Woman,White,TRUE
Hailey Turner,Woman,White,TRUE
Hajime Isayama,Man,Asian,FALSE
Hal Clement,Man,White,FALSE
Hank Green,Man,White,FALSE
Hanna Jameson,Woman,White,FALSE
Hannah Abigail Clarke,Nonbinary,White,TRUE
Hannah Kent,Woman,White,TRUE
Hannah Mathewson,Woman,White,FALSE
Hannah Whitten,Woman,White,FALSE
Hannu Rajaniemi,Man,White,FALSE
Hanya Yanagihara,Woman,Asian,FALSE
Hao Jingfang,Woman,Asian,FALSE
Harlan Ellison,Man,White,FALSE
Harmon Cooper,Man,White,FALSE
Harper Fox,Woman,White,TRUE
Harry Connolly,Man,White,FALSE
Harry Turtledove,Man,White,FALSE
Haruki Murakami,Man,Asian,FALSE
Hassan Blasim,Unknown,Asian,FALSE
Hayao Miyazaki,Man,Asian,FALSE
Hayley Reese Chow,Woman,Asian,FALSE
Hayley Stone,Woman,White,FALSE
Heather Einhorn & Janet Harvey,Unknown,White,FALSE
Heather Kassner,Woman,White,FALSE
Heather Rose Jones,Woman,White,TRUE
Heather Walter,Woman,White,FALSE
Heather Webber,Woman,White,FALSE
Helen Corcoran,Woman,White,TRUE
Helen Harper,Woman,White,FALSE
Helen Marshall,Woman,White,FALSE
Helen Oyeyemi,Woman,Black,FALSE
Helen Sedgwick,Woman,White,TRUE
Helene Wecker,Woman,White,FALSE
Heng Sao Tian Ya,Unknown,Asian,FALSE
Henry Barajas,Man,Hispanic,FALSE
Henry James,Man,White,FALSE
Henry Lien,Man,Asian,FALSE
Henry Louis Gates Jr.,Unknown,Black,FALSE
Herman Raucher,Man,White,FALSE
Herman Scheffauer,Man,White,FALSE
Hermann Hesse,Man,White,FALSE
Herve Le Tellier,Man,White,FALSE
Hideo Kojima,Man,Asian,FALSE
Hilari Bell,Woman,White,FALSE
Hiro Ainana,Man,Asian,FALSE
Hirohiko Araki,Man,Asian,FALSE
Hiromi Kawakami,Woman,Asian,FALSE
Hiroshi Sakurazaka,Man,Asian,FALSE
Hiroyuki Morioka,Man,Asian,FALSE
Hiroyuki Takei,Man,Asian,FALSE
Holly Black,Woman,White,FALSE
Holly Ordway,Woman,White,FALSE
Homer,Man,White,FALSE
Honor Raconteur,Woman,White,FALSE
Hope Mirrlees,Woman,White,FALSE
Hope Nicholson,Woman,White,FALSE
Horace Walpole,Man,White,FALSE
Howard Fast,Man,White,FALSE
Howard Tayler,Man,White,FALSE
Hubert Zanzim,Man,White,FALSE
Hugh Cook,Man,White,FALSE
Hugh Howey,Man,White,FALSE
Hugo Huesca,Man,Hispanic,FALSE
Humphrey Carpenter,Man,White,FALSE
Hye-Young Pyun,Woman,Asian,FALSE
Iain M. Banks,Man,White,FALSE
Ian C. Esslemont,Man,White,FALSE
Ian McEvan,Man,White,FALSE
Ian Nathan,Man,White,FALSE
Ian Tregillis,Man,White,FALSE
Ian Whates,Man,White,FALSE
Ilan Stavans,Man,Hispanic,FALSE
Illimani Ferreira,Man,Hispanic,FALSE
Ilona Andrews,Unknown,White,FALSE
Ilze Hugo,Woman,White,FALSE
Imogen Edwards-Jones,Woman,White,FALSE
Ina Rosvall,Woman,White,FALSE
India Holton,Woman,White,FALSE
Indra Das,Man,Asian,FALSE
Innocent Chizaram Ilo,Nonbinary,Black,TRUE
Intisar Khanani,Woman,Asian,FALSE
Iona Datt Sharma,Woman,Asian,TRUE
Iori Miyazawa,Man,Asian,FALSE
Ira Levin,Man,White,FALSE
Irene Sola,Woman,White,FALSE
Isaac Asimov,Man,White,FALSE
Isaac Fellman,Man,White,TRUE
Isabel Allende,Woman,Hispanic,FALSE
Isabel Fall,Woman,White,TRUE
Isabel Ibanez,Woman,Hispanic,FALSE
Isabel Kim,Woman,Asian,FALSE
Isabel Pelech,Woman,White,FALSE
Isabel Sterling,Woman,White,TRUE
Isabel Yap,Woman,Asian,TRUE
Isiah Lavender III,Man,Black,FALSE
Isiah Lavender III & Lisa Yaszek,Unknown,Black,FALSE
Isobelle Carmody,Woman,White,FALSE
Isobelle Carmody & Daniel Reed,Unknown,White,FALSE
Italo Calvino,Man,White,FALSE
Itamar Vieira Junior,Man,Hispanic,FALSE
Izola Forrester,Woman,White,FALSE
Izumi Suzuki,Woman,Asian,FALSE
J. Edward Neill,Unknown,Unknown,None
J. Michael Straczynski,Man,White,FALSE
J. Robert King,Man,White,FALSE
J. Sheridan Le Fanu,Man,White,FALSE
J. Zachary Pike,Man,White,FALSE
J.A. Sutherland,Man,White,FALSE
J.C. Cervantes,Woman,Hispanic,FALSE
J.C. Clark,Woman,White,FALSE
J.C. Daniels,Woman,White,FALSE
J.C. Kang,Man,Asian,FALSE
J.C. McKenzie,Woman,White,FALSE
J.D. Barker & James Patterson,Man,White,FALSE
J.D. Evans,Woman,White,FALSE
J.D. Robinson,Man,White,FALSE
J.D. Salinger,Man,White,FALSE
J.D.L Rosell,Man,White,FALSE
J.E. Mooney,Unknown,White,FALSE
J.F. Brink,Unknown,Unknown,None
J.G. Ballard,Man,White,FALSE
J.J. Green,Woman,White,FALSE
J.J. Lorden,Unknown,Unknown,None
J.J.A. Harwood,Woman,White,FALSE
J.K. Rowling,Woman,White,FALSE
J.M. Barrie,Man,White,FALSE
J.P. Oakes,Man,White,FALSE
J.P. Valentine,Man,White,TRUE
J.R. Mathews,Man,White,FALSE
J.R. Snyder,Man,White,FALSE
J.R. Ward,Man,White,FALSE
J.R.R. Tolkien,Man,White,FALSE
J.R.R. Tolkien & Humphrey Carpenter,Man,White,FALSE
J.S. Dewes,Woman,White,FALSE
J.S. Emuakpor,Unknown,Black,FALSE
J.T. Greathouse,Man,White,FALSE
Jace Kang,Man,Asian,FALSE
Jacek Dukaj,Man,White,FALSE
Jacey Bedford,Woman,White,FALSE
Jack Finney,Man,White,FALSE
Jack Vance,Man,White,FALSE
Jack Yeovil,Man,White,FALSE
Jackson Haime,Man,White,FALSE
Jacob Steven Mohr,Man,White,FALSE
Jacqueline Carey,Woman,White,FALSE
Jacquelyn Benson,Woman,White,FALSE
Jacques Abeille,Man,White,FALSE
Jadie Jang,Woman,Asian,FALSE
Jael Richardson,Woman,Black,FALSE
Jagadish Chandra Bose,Man,Asian,FALSE
Jamel Cato,Man,Black,FALSE
James Blish,Man,White,FALSE
James Calbraith,Man,White,FALSE
James Gleick,Man,White,FALSE
James Goldman,Man,White,FALSE
James Islington,Man,White,FALSE
James L. Cambias,Man,White,FALSE
James Lovegrove,Man,White,FALSE
James M. Tabor,Man,White,FALSE
James Maxstadt,Man,White,FALSE
James O'Barr,Man,White,FALSE
James S.A. Corey,Man,White,FALSE
James Smythe,Man,White,FALSE
James Swallow,Man,White,FALSE
James T. Callum,Man,White,FALSE
James Tiptree Jr.,Woman,White,FALSE
James Tynion IV,Man,White,FALSE
James White,Man,White,FALSE
Jamie Delano,Man,White,FALSE
Jamie Littler,Man,White,FALSE
Jamie Thomas,Woman,White,FALSE
Jan Morris,Woman,White,TRUE
Jana Oliver,Woman,White,FALSE
Janci Patterson,Woman,White,FALSE
Jane Fletcher,Woman,White,TRUE
Jane Rawson,Woman,White,FALSE
Jane Yolen,Woman,White,FALSE
Janella Angeles,Woman,Asian,FALSE
Janie Chang,Woman,Asian,FALSE
Janine A. Southard,Woman,White,TRUE
Janny Wurts,Woman,White,FALSE
Jared Lobdell,Man,White,FALSE
Jason Denzel,Man,White,FALSE
Jason Sanford,Man,White,FALSE
Jason Schreier,Man,White,FALSE
Jasper Fforde,Man,White,FALSE
Javier Negrete & Juan Miguel Aguilera,Man,White,FALSE
Jay Boyce,Woman,White,FALSE
Jay Kristoff,Man,White,FALSE
Jaya Saxena,Woman,White,TRUE
Jaye Wells,Woman,White,FALSE
Jaymee Goh,Woman,Asian,FALSE
Jaymee Goh & Joyce Chng,Unknown,Asian,None
Jaymin Eve,Woman,White,FALSE
Jean Hegland,Woman,White,FALSE
Jean Ray,Man,White,FALSE
Jean Z. Menzies,Woman,White,FALSE
Jean-Laurent Del Socorro,Man,White,FALSE
Jean-Philippe Jaworski,Man,White,FALSE
Jean-Yves Ferri,Man,White,FALSE
Jeaniene Frost,Woman,White,FALSE
Jeaniene Frost & Kelley Armstrong & Melissa Marr,Woman,White,FALSE
Jeannette Bedard,Woman,White,FALSE
Jeannette Ng,Nonbinary,Asian,FALSE
Jeannie Lin,Woman,Asian,FALSE
Jed Herne,Man,White,FALSE
Jedediah Berry,Man,White,FALSE
Jeff Grubb,Man,White,FALSE
Jeff Lemire,Man,White,FALSE
Jeff Noon,Man,White,FALSE
Jeff VanderMeer,Man,White,FALSE
Jeff Walker,Man,White,FALSE
Jeff Wheeler,Man,White,FALSE
Jeffe Kennedy,Woman,White,FALSE
Jeffery H. Haskell,Man,White,FALSE
Jeffrey Hall,Man,White,FALSE
Jeffrey Kluger,Man,White,FALSE
Jeffrey Lang,Man,White,FALSE
Jeffrey Russell,Man,White,FALSE
Jen Campbell,Woman,White,FALSE
Jen Williams,Woman,White,FALSE
Jenn Lyons,Woman,White,FALSE
Jenn Reese,Woman,White,FALSE
Jenna Glass,Woman,White,FALSE
Jenna Grey,Woman,Unknown,FALSE
Jennifer Blackstream,Woman,White,FALSE
Jennifer Estep,Woman,White,FALSE
Jennifer Finney Boylan,Woman,White,TRUE
Jennifer Foehner Wells,Woman,White,FALSE
Jennifer Giesbrecht,Woman,White,FALSE
Jennifer Givhan,Woman,Hispanic,FALSE
Jennifer L. Armentrout,Woman,White,FALSE
Jennifer Lynn Alvarez,Woman,Hispanic,FALSE
Jennifer Marie Brissett,Woman,Black,FALSE
Jennifer McMahon,Woman,White,TRUE
Jennifer R. Donohue,Woman,White,FALSE
Jennifer Roberson,Woman,White,FALSE
Jennifer Saint,Woman,White,FALSE
Jenny Hval,Woman,White,FALSE
Jenny McLachlan,Woman,White,FALSE
Jenny Schwartz,Woman,White,FALSE
Jeramy Goble,Man,White,FALSE
Jeremiah Kleckner,Unknown,Unknown,None
Jeremy Bai,Man,Asian,FALSE
Jeremy Szal,Man,White,FALSE
Jesmyn Ward,Woman,Black,FALSE
Jess Kidd,Woman,White,FALSE
Jess Nevins,Man,White,FALSE
Jessamine Chan,Woman,Asian,FALSE
Jesse Burlington,Woman,White,TRUE
Jesse McMinn,Man,White,FALSE
Jesse Mihalik,Woman,White,FALSE
Jesse Teller,Man,White,FALSE
Jessica Cluess,Woman,White,FALSE
Jessica Day George,Woman,White,FALSE
Jessica Miller,Woman,White,FALSE
Jessica S. Olson,Woman,White,FALSE
Jessica Spotswood,Woman,White,FALSE
Jessica Townsend,Woman,White,FALSE
Jessie Burton,Woman,White,FALSE
Jewelle Gomez,Woman,Black,FALSE
Ji-Yun,Man,Asian,FALSE
Jill Lepore,Woman,White,FALSE
Jim Butcher,Man,White,FALSE
Jim C. Hines,Man,White,FALSE
Jim Zub & Andy Suriano,Man,White,FALSE
Jin Yong,Man,Asian,FALSE
Jo Spurrier,Woman,White,FALSE
Jo Walton,Woman,White,FALSE
Joan He,Woman,Asian,FALSE
Joan Slonczewski,Woman,White,FALSE
Joanna Berry,Woman,White,FALSE
Joanna Hathaway,Woman,White,FALSE
Joanna Ruth Meyer,Woman,White,FALSE
Joanne M. Harris,Woman,White,FALSE
Jocelynn Drake,Woman,White,FALSE
Jodi Taylor,Woman,White,FALSE
Joe Abercrombie,Man,White,FALSE
Joe Clifford Faust,Man,White,FALSE
Joe Haldeman,Man,White,FALSE
Joe Hart,Man,White,FALSE
Joe Hill,Man,White,FALSE
Joe Jackson,Man,White,FALSE
Joe R. Lansdale,Man,White,FALSE
Joe Zieja,Man,White,FALSE
Joel Shepherd,Man,White,FALSE
Johann Wolfgang von Goethe,Man,White,FALSE
Johanna Lindsey,Woman,White,FALSE
Johanne Dallaire,Woman,White,FALSE
Johannes T. Evans,Man,White,TRUE
John Bellairs,Man,White,FALSE
John Bierce,Man,White,FALSE
John Brunner,Man,White,FALSE
John Buschman & Gloria J. Leckie,Unknown,White,FALSE
John Call,Man,Asian,TRUE
John Chu,Man,Asian,TRUE
John Cleese,Man,White,FALSE
John Conolly,Man,White,FALSE
John Crowley,Man,White,FALSE
John DeChancie,Man,White,FALSE
John Flanagan,Man,White,FALSE
John French,Man,White,FALSE
John G. Henry,Man,White,FALSE
John Gwynne,Man,White,FALSE
John Hornor Jacobs,Man,White,FALSE
John Howe,Man,White,FALSE
John Irving,Man,White,FALSE
John Joseph Adams,Man,White,FALSE
John Keats,Man,White,FALSE
John Kessel,Man,White,FALSE
John L. Monk,Man,White,FALSE
John Langan,Man,White,FALSE
John M. Ford,Man,White,FALSE
John Michael Greer,Man,White,FALSE
John Milton,Man,White,FALSE
John Rickett,Man,White,FALSE
John Sandford & Ctein,Man,White,FALSE
John Scalzi,Man,White,FALSE
John Schoffstall,Man,White,FALSE
John Updike,Man,White,FALSE
John Varley,Man,White,FALSE
John Wiswell,Man,White,TRUE
John Wyndham,Man,White,FALSE
John Zada,Man,White,FALSE
Jolene Zigarovich,Woman,White,None
Jon Auerbach,Man,White,FALSE
Jon Scieszka,Man,White,FALSE
Jon Skovron,Man,White,FALSE
Jonathan French,Man,White,FALSE
Jonathan Hickman,Man,White,FALSE
Jonathan L. Howard,Man,White,FALSE
Jonathan Maberry,Man,White,FALSE
Jonathan Remoiville,Man,White,FALSE
Jonathan Sims,Man,White,FALSE
Jonathan Smidt,Man,White,FALSE
Jonathan Strahan,Man,White,FALSE
Jonathan Stroud,Man,White,FALSE
Jonny Sun,Man,Asian,FALSE
Jordan Ifueko,Woman,Black,FALSE
Jordan L. Hawk,Man,White,TRUE
Jordan Weisman,Unknown,Unknown,None
Jordanna Max Brodsky,Woman,White,FALSE
Jorge Luis Borges,Man,Hispanic,FALSE
Jose Donoso,Man,Hispanic,FALSE
Jose Luis Zarate,Man,Hispanic,TRUE
Jose Pablo Iriarte,Man,Hispanic,FALSE
Jose Saramago,Man,Hispanic,FALSE
Joseph Daniel,Man,White,FALSE
Joseph Delaney,Man,White,FALSE
Joseph Fink & Jeffrey Cranor,Man,White,FALSE
Joseph Loconte,Man,White,FALSE
Joseph O. Doran,Man,White,FALSE
Joseph Oliveira,Man,White,FALSE
Josh Erikson,Man,White,FALSE
Josh Malerman,Man,White,FALSE
Joshua Dalzelle,Man,White,FALSE
Joshua James,Man,White,FALSE
Joshua Philip Jackson,Man,White,FALSE
Joshua Phillip Johnson,Man,White,FALSE
Joshua Reynolds,Man,White,FALSE
Joshua S. Levy,Man,White,FALSE
Joshua Whitehead,Nonbinary,Native,TRUE
Josiah Bancroft,Man,White,FALSE
Joss Lake,Man,White,TRUE
Jougi Shiraishi,Man,Asian,FALSE
Joy Demers,Woman,White,FALSE
Joy Demorra,Woman,White,FALSE
Juan Pablo Reyes Lancaster Jones,Man,Hispanic,FALSE
Judith C. Vogt,Nonbinary,White,TRUE
Judith P. Zinsser,Woman,White,FALSE
Jules Verne,Man,White,FALSE
Julia Armfield,Woman,White,TRUE
Julia Victoria Jones,Woman,White,FALSE
Julian K. Jarboe,Nonbinary,White,TRUE
Julie Abe,Woman,Asian,FALSE
Julie C. Dao,Woman,Asian,FALSE
Julie E. Czerneda,Woman,White,FALSE
Julie Kagawa,Woman,Asian,FALSE
Juliet Blackwell,Woman,White,FALSE
Juliet E. McKenna,Woman,White,FALSE
Juliet Marillier,Woman,White,FALSE
June C.L. Tan,Woman,Asian,FALSE
June Hur,Woman,Asian,FALSE
Junji Ito,Man,Asian,FALSE
Justin Call,Man,White,FALSE
Justin Gustainis,Man,White,FALSE
Justin Lee Anderson,Man,White,FALSE
Justina Ireland,Woman,Black,FALSE
Justina Robson,Woman,White,FALSE
K. Ancrum,Woman,Black,TRUE
K. Arsenault Rivera,Woman,Hispanic,TRUE
K. Aten,Woman,White,TRUE
K. Chess,Woman,White,TRUE
K. Eason,Woman,White,FALSE
K. H. Scheer,Man,White,FALSE
K.A. Applegate,Woman,White,FALSE
K.A. Doore,Nonbinary,White,TRUE
K.A. Stewart,Woman,White,FALSE
K.B. Spangler,Woman,White,FALSE
K.B. Wagers,Nonbinary,White,TRUE
K.D. Edwards,Man,White,TRUE
K.G. Johansson,Man,White,FALSE
K.J. Bishop,Woman,White,FALSE
K.J. Charles,Woman,White,TRUE
K.J. Parker,Man,White,FALSE
K.J. Sutton,Woman,White,FALSE
K.M. Shea,Woman,White,FALSE
K.M. Szpara,Man,White,TRUE
K.N. Banet,Woman,White,FALSE
K.R.R. Lockhaven,Man,White,FALSE
K.S. Villoso,Woman,Asian,FALSE
K.T. Bryski,Woman,White,TRUE
K.T. Hanna,Woman,White,FALSE
K.W. Jeter,Man,White,FALSE
Kacen Callender,Nonbinary,Black,TRUE
Kaela Rivera,Woman,Hispanic,FALSE
Kage Baker,Woman,White,FALSE
Kai Ashante Williams,Man,Black,TRUE
Kai Cheng Thom,Woman,Asian,TRUE
Kai Greenwood,Man,White,FALSE
