Author,gender,ethnicity,queer
Andrea Stewart,Woman,Asian,FALSE
Andreas Eschbach,Man,White,FALSE
Andrew Caldecott,Man,White,FALSE
Andrew Hunter Murray,Man,White,FALSE
Andrew J. Heller,Man,White,FALSE
Andrew Karevik,Man,White,FALSE
Andrew Kelly Stewart,Man,White,FALSE
Andrew MacLean,Man,White,FALSE
Andrew May,Man,White,FALSE
Andrew Pyper,Man,White,FALSE
Andrew Rowe,Man,White,FALSE
Andrew Seiple,Man,White,FALSE
Andrew Taylor,Man,White,FALSE
Andrus Kivirahk,Man,White,FALSE
Andrzej Sapkowski,Man,White,FALSE
Andy Clark,Man,White,FALSE
Andy Giesler,Man,White,FALSE
Andy Weir,Man,White,FALSE
Angela Boord,Woman,White,FALSE
Angela Carter,Woman,White,FALSE
Angela Mi Young Hur,Woman,Asian,FALSE
Angela Roquet,Woman,White,FALSE
Angelica Gorodischer,Woman,Hispanic,FALSE
Angie Sage,Woman,White,FALSE
Anjali Sachdeva,Woman,Asian,FALSE
Ann Aguirre,Woman,White,FALSE
Ann LeBlanc,Woman,White,FALSE
Ann Leckie,Woman,White,FALSE
Anna Burke,Woman,White,FALSE
Anna Meriano,Woman,Hispanic,TRUE
Anna North,Woman,White,FALSE
Anna Sewell,Woman,White,FALSE
Anna Sinjin,Woman,White,FALSE
Anna Smith Spark,Woman,White,FALSE
Anna Stephens,Woman,White,FALSE
Anna Zumbro,Unknown,Unknown,None
Anna-Marie McLemore,Nonbinary,Hispanic,TRUE
Annabel Chase,Unknown,Unknown,None
Annalee Newitz,Nonbinary,White,TRUE
Anne Bishop,Woman,White,FALSE
Anne C. Perry & Jared Shurin,Unknown,White,FALSE
Anne Cross,Woman,White,FALSE
Anne Elisabeth Stengl,Woman,White,FALSE
Anne Jamison,Woman,White,TRUE
Anne McCaffrey,Woman,White,FALSE
Anne Rice,Woman,White,FALSE
Anne Robillard,Woman,White,FALSE
Anne Tibbets,Woman,White,FALSE
Annette Marie,Woman,White,FALSE
Anonymous,Unknown,Unknown,None
Anthony Daniels,Man,White,FALSE
Anthony Doerr,Man,White,FALSE
Anthony Lowe,Man,White,FALSE
Anthony Mitchell,Man,White,FALSE
Anthony Ryan,Man,White,FALSE
Antoine de Saint-Exupery,Man,White,FALSE
Antoine Rouaud,Man,White,FALSE
Anya Ow,Woman,Asian,FALSE
Aoko Matsuda,Woman,Asian,FALSE
April Daniels,Woman,White,TRUE
April Genevieve Tucholke,Woman,White,TRUE
Arcs,Unknown,Unknown,None
Arika Okrent,Woman,White,FALSE
Arkady & Boris Strugatsky,Man,White,FALSE
Arkady Martine,Woman,White,TRUE
Arthur Bowie Chrisman,Man,White,FALSE
Arthur C. Clarke,Man,White,FALSE
Arthur Porges,Man,White,FALSE
Arthur Stone,Man,White,FALSE
Ash Van Otterloo,Nonbinary,White,TRUE
Ashan Delon,Unknown,White,TRUE
Ashe Armstrong,Man,White,FALSE
Ashia Monet,Woman,Black,TRUE
Ashley Poston,Woman,White,FALSE
Ashley Shuttleworth,Nonbinary,White,TRUE
Aster Glenn Gray,Unknown,Unknown,None
Astrid Lindgren,Woman,White,FALSE
Audrey Coulthurst,Woman,White,FALSE
Audrey Niffenegger,Woman,White,FALSE
Audrey Schulman,Woman,White,FALSE
Ausma Zehanat Khan,Woman,Asian,FALSE
Austin Aslan,Man,White,FALSE
Austin Chant,Nonbinary,White,TRUE
Ava Reid,Woman,White,FALSE
Avi Silver,Woman,White,FALSE
Axel Blackwell,Man,White,FALSE
Aya Ling,Woman,Asian,FALSE
Ayana Gray,Woman,Black,FALSE
B. Sharise Moore,Woman,Black,FALSE
B.B. Alston,Man,Black,FALSE
B.G. Hilton,Man,White,FALSE
B.R. Yeager,Man,White,FALSE
Bailey Cates,Woman,White,FALSE
Barbara Hambly,Woman,White,FALSE
Bari Wood,Woman,White,FALSE
Baris Mustecaplioglu,Man,Asian,FALSE
Barry Hughart,Man,White,FALSE
Barry J. Hutchison,Man,White,FALSE
Basma Abdel Aziz,Woman,Asian,FALSE
Becky Chambers,Woman,White,TRUE
Becky Cloonan & Brenden Fletcher & Karl Kerschl,Unknown,White,TRUE
Ben Aaronovitch,Man,White,FALSE
Ben Alderson,Man,White,TRUE
Ben Blacker,Man,White,FALSE
Ben Dobson,Man,White,FALSE
Ben Galley,Man,White,FALSE
Ben H. Winters,Man,White,FALSE
Ben Housden,Man,White,FALSE
Ben Jeapes,Man,White,FALSE
Ben Okri,Man,Black,FALSE
Ben Oliver,Man,White,FALSE
Ben Stava,Man,White,FALSE
Benedict Jacka,Man,White,FALSE
Benedict Patrick,Man,White,FALSE
Benjamin Kerei,Man,Asian,FALSE
Benjamin Keyworth,Man,White,FALSE
Benjamin Percy,Man,White,FALSE
Benjanun Sriduangkaew,Woman,Asian,TRUE
Benny Lawrence,Man,White,FALSE
Berlie Doherty,Woman,White,FALSE
Bernard Cornwell,Man,White,FALSE
Bernard Taylor,Man,White,FALSE
Bernhard Hennen,Man,White,FALSE
Bernie Anes Paz,Man,Hispanic,FALSE
Beth Ball,Woman,White,FALSE
Beth Brower,Woman,White,FALSE
Beth Revis,Woman,White,FALSE
Bethany C. Morrow,Woman,Black,FALSE
Bethany Clift,Woman,White,FALSE
Bev Vincent,Man,White,FALSE
Beverly Lee,Woman,White,FALSE
Bill Meeks,Man,White,FALSE
Bill Willingham,Man,White,FALSE
Bitter Karella,Nonbinary,White,TRUE
Blake Crouch,Man,White,FALSE
Blayre Delacour,Unknown,Unknown,None
Bob McGough,Man,White,FALSE
Bobby Adair,Man,White,FALSE
Bones McKay,Man,White,TRUE
Bonnie Quinn,Woman,White,FALSE
Bora Chung,Woman,Asian,FALSE
Bradley B. Beaulieu,Man,White,FALSE
Bram Stoker,Man,White,FALSE
Brandon Sanderson,Man,White,FALSE
Brandon T. Snider,Man,White,FALSE
Brenda Peynado,Woman,Hispanic,FALSE
Brenna Thummler,Woman,White,FALSE
Brent Ermilio,Man,White,FALSE
Brent Weeks,Man,White,FALSE
Brett Herman,Man,White,FALSE
Brian Aldiss,Man,White,FALSE
Brian Bakos,Man,White,FALSE
Brian Catling,Man,White,FALSE
Brian Evanson,Man,White,FALSE
Brian Fuller,Man,White,FALSE
Brian Jacques,Man,White,FALSE
Brian K. Vaughan,Man,White,FALSE
Brian K. Vaughan & Fiona Staples,Unknown,White,FALSE
Brian Lee Durfee,Man,White,FALSE
Brian McClellan,Man,White,FALSE
Brian Naslund,Man,White,FALSE
Brian P. Rubin,Man,White,FALSE
Brian Staveley,Man,White,FALSE
Brian Turner,Man,White,FALSE
Brianne Battye,Woman,White,FALSE
Bridget Collins,Woman,White,FALSE
Bridget McGovern,Woman,White,FALSE
Brigid Kemmerer,Woman,White,TRUE
Brittney Morris,Woman,Black,TRUE
Brom,Man,White,FALSE
Brooke Bolander,Nonbinary,White,TRUE
Bruce Coville,Man,White,FALSE
Bruce McAllister,Man,White,FALSE
Bryan Camp,Man,White,FALSE
Bryan Thomas Schmidt,Unknown,White,FALSE
Bryce O'Connor,Man,White,FALSE
Bryce O'Connor & Luke Chmilenko,Man,White,FALSE
Brynn Chapman,Woman,White,FALSE
C. Greenwood,Woman,White,FALSE
C. Mantis,Man,White,FALSE
C. Robert Cargill,Man,White,FALSE
C.A. Fletcher,Man,White,FALSE
C.A. Higgins,Woman,White,FALSE
C.B. Lee,Woman,Asian,TRUE
C.C. Finlay,Man,White,FALSE
C.D. Britt,Woman,White,TRUE
C.D. Gallant-King,Man,White,FALSE
C.F. Welburn,Man,White,FALSE
C.J. Cherryh,Woman,White,FALSE
C.J. Cooke,Woman,White,FALSE
C.J. Milbrandt,Woman,White,FALSE
C.J. Tudor,Woman,White,FALSE
C.K. McDonnell,Man,White,FALSE
C.L. Clark,Nonbinary,Black,TRUE
C.L. Clark & Charles Payseur,Unknown,Black,TRUE
C.L. Moore,Woman,White,FALSE
C.L. Polk,Nonbinary,Black,TRUE
C.L. Wilson,Woman,White,FALSE
C.M. Lackner,Man,White,FALSE
C.M. Waggoner,Woman,White,TRUE
C.P. Rider,Woman,White,FALSE
C.S. Friedman,Woman,White,FALSE
C.S. Lewis,Man,White,FALSE
C.S. Malerich,Woman,White,FALSE
C.S. Pacat,Woman,White,FALSE
C.S.E. Cooney,Woman,White,FALSE
C.T. Phipps,Man,White,FALSE
C.T. Phipps & Micheal Suttkus,Man,White,FALSE
C.T. Rwizi,Man,Black,FALSE
Cadwell Turnbull,Man,Black,FALSE
Cait Stevenson,Woman,White,FALSE
Caitlin R. Kiernan,Woman,White,TRUE
Caitlin Starling,Woman,White,TRUE
Caitlin Sullivan Kelly,Woman,White,FALSE
Cale Plamann,Man,White,FALSE
Calvin Kasulke,Man,White,TRUE
Cameron Darrow,Woman,White,TRUE
Cameron Johnston,Man,White,FALSE
Cameron Milan,Man,White,FALSE
Camilla Sten,Woman,White,FALSE
Cara Patterson,Woman,White,TRUE
"Carey Pietsch, Clint McElroy, Travis McElroy, Griffin McElroy, Justin McElroy",Unknown,White,FALSE
Cari Thomas,Woman,White,FALSE
Carissa Broadbent,Woman,White,FALSE
Carl Sagan,Man,White,FALSE
Carlie Sorosiak,Woman,White,FALSE
Carlos Fuentes,Man,Hispanic,FALSE
Carlos Hernandez,Man,Hispanic,FALSE
Carlos Ruiz Zafon,Man,Hispanic,FALSE
Carmen Boullosa,Woman,Hispanic,FALSE
Carmen Maria Machado,Woman,Hispanic,TRUE
Carol Berg,Woman,White,FALSE
Carole Johnstone,Woman,White,FALSE
Carole Stivers,Woman,White,FALSE
Carolin Wahl,Woman,White,FALSE
Caroline B. Cooney,Woman,White,FALSE
Caroline Hardaker,Woman,White,FALSE
Caroline O'Donoghue,Woman,White,FALSE
Caroline Stevermer,Woman,White,FALSE
Carolyn Ives Gilman,Woman,White,TRUE
Carolyn Jess-Cooke,Woman,White,FALSE
Carrie Summers,Woman,White,FALSE
Carrie Vaughn,Woman,White,FALSE
Carson Winter,Man,White,FALSE
Carver Pike,Man,White,FALSE
Cary Elwes,Man,White,FALSE
Casey Matthews,Unknown,Unknown,None
Casey McQuiston,Nonbinary,White,TRUE
Cass Morris,Woman,White,FALSE
Cassandra Clare,Woman,White,FALSE
Cassandra Clare & Wesley Chu,Unknown,Asian,FALSE
Cassandra Gannon,Woman,White,FALSE
Cassandra Khaw,Nonbinary,Asian,TRUE
Cassandra Rose Clarke,Woman,White,FALSE
CasualFarmer,Man,White,FALSE
Cat Rambo,Nonbinary,White,TRUE
Cat Rector,Woman,White,TRUE
Cate Glass,Woman,White,FALSE
Cate Lawley,Woman,White,FALSE
Cate Pearce,Woman,White,TRUE
Catherine Griffin,Woman,White,FALSE
Catherine McIlwaine,Woman,White,FALSE
Catherynne M. Valente,Woman,White,TRUE
Catriona Silvey,Nonbinary,White,TRUE
Catriona Ward,Woman,White,FALSE
Cavan Scott,Man,White,FALSE
Cecilia Ekback,Woman,White,FALSE
Celia Lake,Woman,White,FALSE
Chad Retterath,Man,White,FALSE
Chana Porter,Nonbinary,White,TRUE
Chanda Prescod-Weinstein,Nonbinary,Black,TRUE
Chantal Gadoury & A.M. Wright,Woman,White,FALSE
Charlaine Harris,Woman,White,FALSE
Charles de Lint,Man,White,FALSE
Charles Dickens,Man,White,FALSE
Charles Saunders,Man,Black,FALSE
Charles Soule,Man,White,FALSE
Charles Stross,Man,White,FALSE
Charles Yu,Man,White,FALSE
Charlie Adhara,Woman,White,TRUE
Charlie Brooker & Jason Arnopp & & Annabel Jones,Unknown,White,FALSE
Charlie Jane Anders,Woman,White,TRUE
Charlie N. Holmberg,Woman,White,FALSE
Charlotte E. English,Woman,White,FALSE
Charlotte Kersten,Woman,White,FALSE
Charlotte McConaghy,Woman,White,FALSE
Charlotte Nicole Davis,Woman,Black,TRUE
Charlotte von Ahlefeld,Woman,White,FALSE
Chaz Brenchley,Man,White,FALSE
Chelsea Abdullah,Woman,Asian,FALSE
Chen Qian,Unknown,Asian,None
Chen Qiufan,Man,Asian,FALSE
Cher Martinetti,Woman,White,FALSE
Cherie Dimaline,Woman,Native,FALSE
Cherie Priest,Woman,White,FALSE
Chesya Burke,Woman,Black,FALSE
Chi Ta-Wei,Man,Asian,TRUE
Chimamanda Ngozi Adichie,Woman,Black,FALSE
China Mieville,Man,White,FALSE
CHIROLU,Unknown,Asian,None
Chitra Banerjee Divakaruni,Woman,Asian,FALSE
Chloe Chevalier,Woman,White,FALSE
Chloe Gong,Woman,Asian,FALSE
Chloe Neill,Woman,White,FALSE
Chris A. Jackson,Man,White,FALSE
Chris Bain & Patrick Weekes & Matthew Goldman & Christopher Morgan,Man,White,FALSE
Chris Beckett,Man,White,FALSE
Chris Colfer,Man,White,TRUE
Chris Fox,Man,White,FALSE
Chris Gosden,Man,White,FALSE
Chris McKinney,Man,Asian,FALSE
Chris Sharp,Man,White,FALSE
Chris Tullbane,Man,White,FALSE
Chris Wooding,Man,White,FALSE
Chris Wraight,Man,White,FALSE
Christelle Dabos,Woman,White,FALSE
Christian Brassington & Matt Fitton & Adrian Poynton & John Dorney,Man,White,FALSE
Christie Golden,Woman,White,FALSE
Christie Yant,Woman,White,FALSE
Christina C. Jones,Woman,Black,FALSE
Christina Engela,Woman,White,FALSE
Christina Henry,Woman,White,FALSE
Christina Lauren,Woman,White,FALSE
Christina Sweeney-Baird,Woman,White,FALSE
Christine Lynn Herman & Amanda Foody,Woman,White,FALSE
Christopher Buehlman,Man,White,FALSE
Christopher G. Nuttall,Man,White,FALSE
Christopher Golden,Man,White,FALSE
Christopher Golden & Rachel Autumn Deering,Unknown,White,FALSE
Christopher Healy,Man,White,FALSE
Christopher Husberg,Man,White,FALSE
Christopher Mitchell,Man,White,FALSE
Christopher Moore,Man,White,FALSE
Christopher Paolini,Man,White,FALSE
Christopher Priest,Man,White,FALSE
Christopher Ruocchio,Man,White,FALSE
Christopher Scott,Man,White,FALSE
Christopher Stasheff,Man,White,FALSE
Chuck Wendig,Man,White,FALSE
Chugong,Man,Asian,FALSE
Ciannon Smart,Woman,Black,FALSE
Ciel Pierlot,Woman,White,TRUE
Cinda Williams Chima,Woman,White,FALSE
Cixin Liu,Man,Asian,FALSE
Clair Legrand,Woman,White,FALSE
Claire Cronin,Woman,White,FALSE
Claire Leggett,Woman,White,FALSE
Claire North,Woman,White,FALSE
Claire O'Dell,Woman,White,TRUE
CLAMP,Woman,Asian,FALSE
Clare Sager,Woman,White,FALSE
Clark Ashton Smith,Man,White,FALSE
Claudie Arseneault,Woman,White,TRUE
Clemens Brentano,Man,White,FALSE
Clifford D. Simak,Man,White,FALSE
Clint McElroy,Man,White,FALSE
Clive Barker,Man,White,FALSE
cocop,Man,White,FALSE
Coleman Alexander,Man,White,FALSE
Colin Dickey,Man,White,FALSE
Colin Gigl,Man,White,FALSE
Colin Kapp,Man,White,FALSE
Colin Meloy,Man,White,FALSE
Colleen Cowley,Woman,White,FALSE
Colson Whitehead,Man,Black,FALSE
Connie Willis,Woman,White,FALSE
Constance Sayers,Woman,White,FALSE
Cordwainer Smith,Man,White,FALSE
Corey J. White,Man,White,FALSE
CorI McCarthy & Amy Rose Capetta,Nonbinary,White,TRUE
Cornelia Funke,Woman,White,FALSE
Cory Doctorow,Man,White,FALSE
Count E,Woman,Asian,None
Courtney Gould,Woman,White,TRUE
Courtney Schafer,Woman,White,FALSE
Courtney Woods,Woman,White,FALSE
Craig Alanson,Man,White,FALSE
Craig Schaefer,Man,White,FALSE
Craig Shaw Gardner,Man,White,FALSE
Craig Thompson,Man,White,FALSE
Cressida Cowell,Woman,White,FALSE
Critical Role,Unknown,White,FALSE
cthuluraejepson,Man,White,FALSE
Curtis Craddock,Man,White,FALSE
Cynthia Freeman,Woman,White,FALSE
Cynthia Hand & Brodi Ashton & Jodi Meadows,Woman,White,FALSE
Cynthia Zhang,Woman,Asian,FALSE
D. Moonfire,Man,White,FALSE
D. Rus,Man,White,FALSE
D.B. King,Man,White,FALSE
D.C. Haenlien,Unknown,Unknown,None
D.D. Webb,Unknown,Unknown,None
D.J. Butler,Man,White,FALSE
D.J. MacHale,Man,White,FALSE
D.K. Holmberg,Man,White,FALSE
D.M. Ritzlin,Man,White,FALSE
D.N. Bryn,Nonbinary,White,TRUE
D.O. Fagunwa,Man,Black,FALSE
D.P. Woolliscroft,Man,White,TRUE
D.W. Ross,Man,White,TRUE
Dacre Stoker & J.D. Barker,Man,White,FALSE
Dahlia Adler,Woman,White,TRUE
Daina Chaviano,Woman,Hispanic,FALSE
Daisy Johnson,Woman,White,FALSE
Dakota Krout,Man,White,FALSE
Damian Dibben,Man,White,FALSE
Damien Broderick,Man,White,FALSE
Dan Abnett,Man,White,FALSE
Dan Adams,Man,White,FALSE
Dan Hanks,Man,White,FALSE
Dan Jones,Man,White,FALSE
Dan Koboldt,Man,White,FALSE
Dan Simmons,Man,White,FALSE
Dan Stout,Man,White,FALSE
Dan Sugralinov,Man,Asian,FALSE
Dan Wells,Man,White,FALSE
Daniel Abraham,Man,White,FALSE
